"StartDate","EndDate","Status","Progress","Duration__in_seconds_","Finished","RecordedDate","DistributionChannel","UserLanguage","Q5","Q7","Q8","Q12","Q13_1","Q13_2","Q13_3","Q13_4","Q13_5","Q13_6","Q13_7","Q13_8","Q13_9","Q13_10","Q14_1","Q14_2","Q14_3","Q14_4","Q14_5","Q14_6","Q14_7","Q14_8","Q11_1","Q11_2","Q11_3","Q11_4","Q11_5","Q11_6","Q17_1","Q17_2","Q17_3","Q17_4","Q18_1","Q18_2","Q18_3","Q18_4","Q18_5","Q20_1","Q20_2","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q22_1","Q22_2","Q22_3","Q22_4","Q22_5","Q23_1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q26_1","Q26_2","Q27_1","Q27_2","SC0","SC1","SC2","SC3","SC4","SC5","id","Attention"
2017-11-28 14:12:40,2017-11-28 14:19:09,0,100,389,1,2017-11-28 14:19:09,"anonymous","EN",19,2,1,1,2,2,2,5,4,4,2,3,1,1,5,5,5,5,1,1,3,5,3,5,4,5,5,2,2,1,1,3,3,1,1,1,2,3,4,5,2,5,4,1,3,1,4,3,5,3,6,6,6,6,6,1,2,3,1,1,1,1,3,4,4,5,1,3,4,1,6,4,24,6,24,29,96,0,"17546",""
2017-11-28 14:58:03,2017-11-28 15:08:25,0,100,622,1,2017-11-28 15:08:26,"anonymous","EN",18,1,2,1,1,2,2,5,5,4,1,1,2,1,5,2,5,1,1,1,2,5,2,3,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,6,1,1,3,1,1,6,4,2,5,1,1,2,1,1,2,1,2,3,5,5,1,2,2,1,6,6,13,2,13,21,62,0,"17997",""
2017-11-28 16:32:00,2017-11-28 16:39:00,0,100,419,1,2017-11-28 16:39:01,"anonymous","EN",19,2,2,4,2,3,4,5,3,4,2,2,1,1,5,4,2,5,1,1,2,5,4,5,2,4,5,4,3,3,1,2,4,1,1,1,1,2,2,3,2,2,4,1,2,4,2,1,4,2,5,5,2,2,2,1,2,3,1,2,1,1,1,2,5,5,1,1,2,1,5,5,24,8,24,24,66,0,"17754",""
2017-11-28 21:18:24,2017-11-28 21:26:55,0,100,510,1,2017-11-28 21:26:56,"anonymous","EN",18,2,1,2,2,3,2,5,3,4,2,2,1,1,5,5,2,5,1,1,1,5,4,4,4,2,5,4,2,3,1,2,4,1,1,1,2,1,1,1,1,1,4,1,1,5,2,1,3,2,5,6,2,6,5,1,1,2,1,2,1,1,3,3,6,4,1,4,2,2,5,5,23,8,23,24,69,0,"17590",""
2017-11-29 09:23:34,2017-11-29 09:34:01,0,100,626,1,2017-11-29 09:34:01,"anonymous","EN",20,1,1,1,2,2,2,5,4,4,1,1,3,4,5,5,5,5,1,1,1,5,5,5,4,4,4,4,1,1,1,1,2,1,1,1,1,2,1,6,1,2,4,1,1,6,4,1,5,3,6,4,2,1,3,1,1,1,1,1,3,3,2,3,4,3,1,4,5,4,3,4,26,1,26,27,74,0,"18014",""
2017-11-29 10:00:50,2017-11-29 10:10:06,0,100,555,1,2017-11-29 10:10:06,"anonymous","EN",21,2,2,1,1,2,1,5,2,1,1,1,1,1,5,5,2,5,1,1,2,2,5,4,2,5,5,4,2,2,1,3,4,1,2,1,2,2,5,1,1,4,4,1,2,3,2,1,3,1,4,2,2,2,2,1,2,2,1,1,1,1,2,2,5,2,1,2,2,2,3,2,25,9,25,22,49,0,"17381",""
2017-11-29 11:56:44,2017-11-29 12:03:20,0,100,395,1,2017-11-29 12:03:21,"anonymous","EN",19,2,1,1,1,1,2,5,4,3,2,1,1,2,5,5,5,5,3,1,4,5,2,2,2,4,1,2,3,3,2,2,4,2,2,2,4,2,4,6,2,4,4,3,4,5,2,2,3,3,3,6,2,3,6,1,2,2,1,5,2,2,1,5,4,3,1,4,5,2,6,3,13,15,13,32,86,0,"17998",""
2017-11-29 13:05:18,2017-11-29 13:11:29,0,100,371,1,2017-11-29 13:11:30,"anonymous","EN",23,1,2,2,2,2,2,5,4,4,2,1,1,2,5,5,5,5,2,1,2,5,4,5,4,4,5,3,4,3,2,2,4,1,2,2,3,5,3,1,4,3,4,1,2,2,3,4,3,2,4,4,1,NA,2,1,1,4,1,2,2,1,1,4,1,6,1,2,4,4,5,5,25,14,25,29,76,0,"11918",""
2017-11-29 15:40:00,2017-11-29 15:51:35,0,100,694,1,2017-11-29 15:51:35,"anonymous","EN",19,1,2,1,2,2,2,5,3,2,2,1,3,3,4,5,5,5,3,1,2,2,3,4,3,4,5,4,3,1,2,3,3,1,2,2,4,5,6,2,1,5,4,1,1,3,1,2,3,3,1,5,3,5,4,1,1,4,1,3,1,1,1,3,3,2,1,3,1,1,6,6,23,12,23,26,71,0,"17743",""
2017-11-29 16:26:11,2017-11-29 16:36:49,0,100,637,1,2017-11-29 16:36:49,"anonymous","EN",19,1,2,2,2,2,1,5,4,4,1,1,1,2,5,4,4,5,1,1,2,5,1,3,2,2,4,2,2,2,2,2,3,1,2,1,2,2,2,4,2,1,4,1,1,6,2,1,5,1,6,4,2,2,3,1,1,3,1,2,1,1,1,5,1,3,1,2,4,1,5,6,14,8,14,26,72,0,"18018",""
2017-11-29 19:08:57,2017-11-29 19:22:05,0,100,787,1,2017-11-29 19:22:05,"anonymous","EN",18,1,2,1,1,1,1,5,2,2,1,1,1,1,3,1,1,1,1,1,1,1,3,2,4,3,4,2,4,1,1,1,1,1,1,1,3,2,1,1,2,1,4,1,1,5,2,1,5,4,1,5,6,6,3,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,4,4,18,5,18,9,63,0,"18016",""
2017-11-29 20:29:57,2017-11-29 20:50:24,0,100,1227,1,2017-11-29 20:50:25,"anonymous","EN",18,1,1,1,2,2,2,5,2,3,1,4,1,1,5,5,5,5,5,1,5,5,4,2,2,4,2,1,3,1,1,3,4,1,1,1,1,4,3,3,3,3,4,3,1,2,3,2,5,2,5,4,2,4,3,1,2,2,2,4,1,1,3,4,2,6,1,4,4,2,5,5,15,7,15,35,88,0,"18002",""
2017-11-29 21:54:44,2017-11-29 22:17:22,0,100,1357,1,2017-11-29 22:17:23,"anonymous","EN",27,1,1,2,1,1,1,5,1,1,1,2,1,1,4,3,2,1,1,1,1,2,4,2,2,2,2,2,4,2,2,4,4,1,4,1,2,3,3,2,4,3,4,1,5,3,3,1,3,1,1,2,2,2,2,1,1,2,1,3,2,3,4,3,6,1,1,1,3,2,4,4,14,15,14,14,62,0,"17683",""
2017-11-30 00:39:04,2017-11-30 00:46:34,0,100,450,1,2017-11-30 00:46:35,"anonymous","EN",19,1,1,2,1,1,1,5,4,4,1,1,2,2,5,5,5,5,1,1,2,5,1,1,4,1,3,1,2,1,1,2,3,1,1,1,2,2,3,1,2,1,4,1,1,4,1,1,4,2,5,2,2,1,2,1,1,3,1,1,2,1,3,6,2,2,1,2,5,2,5,5,11,5,11,28,63,0,"17924",""
2017-11-30 10:11:13,2017-11-30 10:22:22,0,100,668,1,2017-11-30 10:22:22,"anonymous","EN",22,1,2,2,1,1,1,5,2,3,1,1,1,1,5,5,5,5,1,1,3,5,3,4,4,3,4,4,3,1,2,4,2,2,2,1,3,2,2,2,1,2,4,1,2,1,3,1,4,1,2,5,1,3,3,1,3,3,1,1,1,1,2,4,4,1,1,1,4,4,5,5,22,11,22,29,62,0,"17586",""
2017-11-30 14:57:33,2017-11-30 15:04:58,0,100,445,1,2017-11-30 15:04:59,"anonymous","EN",21,1,2,1,1,1,3,5,3,2,1,1,1,1,5,5,5,5,4,1,1,5,4,4,3,2,4,4,2,3,4,4,4,2,3,1,4,3,4,2,1,4,4,3,3,5,3,1,4,3,3,5,4,5,6,1,2,2,1,2,1,1,1,3,1,5,1,2,5,3,6,6,21,18,21,30,86,0,"18030",""
2017-12-01 12:35:03,2017-12-01 12:45:18,0,100,615,1,2017-12-01 12:45:19,"anonymous","EN",21,3,1,1,2,1,2,5,2,4,1,2,1,2,5,3,3,5,3,1,2,5,3,4,3,1,4,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,4,5,2,3,5,1,5,1,5,5,3,3,4,1,2,3,2,1,1,1,4,5,2,5,1,1,5,5,5,6,17,1,17,26,83,0,"18037",""
2017-12-01 15:27:53,2017-12-01 15:40:17,0,100,743,1,2017-12-01 15:40:18,"anonymous","EN",21,1,2,2,3,4,1,5,3,4,1,1,2,2,5,5,5,5,3,1,3,5,4,4,3,4,3,2,2,3,1,4,4,1,2,1,2,3,3,5,2,3,4,1,3,3,2,1,4,2,5,5,3,4,4,1,2,1,3,5,1,1,1,3,4,3,1,3,4,2,6,6,20,11,20,31,83,0,"16108",""
2017-12-01 16:44:31,2017-12-01 16:50:19,0,100,348,1,2017-12-01 16:50:20,"anonymous","EN",25,1,2,1,3,2,1,5,2,2,1,1,1,4,5,5,4,5,1,1,2,5,2,1,1,4,4,1,2,3,2,2,3,1,2,1,2,2,2,3,2,2,4,5,2,2,1,1,2,3,4,5,2,3,4,1,1,1,1,1,1,1,1,4,1,3,1,2,6,6,6,6,13,9,13,27,75,0,"18038",""
2017-12-01 18:57:01,2017-12-01 19:05:17,0,100,496,1,2017-12-01 19:05:18,"anonymous","EN",19,1,2,1,2,2,2,5,2,2,2,2,2,2,4,3,2,2,1,1,1,1,3,2,2,3,3,1,1,2,1,1,4,1,1,1,1,2,2,3,2,2,4,3,2,2,2,1,2,1,2,4,3,2,3,1,2,2,1,1,1,1,1,2,1,4,6,2,3,3,3,3,14,4,14,14,62,1,"18025",""
2017-12-01 22:07:18,2017-12-01 22:21:00,0,100,822,1,2017-12-01 22:21:01,"anonymous","EN",19,1,1,2,1,2,1,5,3,2,2,2,2,1,5,2,3,5,1,1,1,3,2,3,3,5,5,2,4,2,2,4,3,1,3,1,2,3,2,1,2,3,4,1,1,5,2,1,2,6,2,3,1,1,3,1,1,3,1,1,1,1,2,3,4,3,1,2,5,3,2,1,20,13,20,20,55,0,"17994",""
2017-12-02 01:34:35,2017-12-02 01:45:08,0,100,633,1,2017-12-02 01:45:09,"anonymous","EN",18,1,1,1,2,3,4,5,3,4,2,2,3,2,5,5,5,5,2,1,1,5,4,4,3,4,5,2,3,2,3,2,2,1,1,1,4,2,4,1,1,4,4,1,1,4,3,4,5,2,6,4,3,2,4,1,2,2,1,2,2,1,2,4,3,5,1,1,5,2,6,5,22,10,22,28,77,0,"17738",""
2017-12-02 13:56:55,2017-12-02 14:30:07,0,100,1992,1,2017-12-02 14:30:08,"anonymous","EN",20,1,2,3,1,1,1,5,5,2,2,1,1,1,5,5,5,5,5,1,5,5,1,1,1,1,1,1,2,2,2,2,3,1,1,1,3,3,2,2,2,2,4,2,1,1,5,1,5,1,6,6,6,6,6,1,2,3,6,6,4,3,3,6,5,6,1,4,6,6,6,6,6,8,6,35,109,0,"18040",""
2017-12-02 15:05:43,2017-12-02 15:11:38,0,100,354,1,2017-12-02 15:11:38,"anonymous","EN",18,1,1,1,1,1,1,5,3,4,1,2,1,1,5,5,5,5,1,1,2,5,4,3,3,2,3,3,2,2,1,2,4,1,1,1,2,2,1,2,2,1,4,2,1,6,2,1,6,2,6,6,2,3,3,1,1,3,2,1,1,1,1,3,5,4,1,3,6,4,6,6,18,7,18,28,77,0,"18011",""
2017-12-02 15:47:17,2017-12-02 15:55:44,0,100,506,1,2017-12-02 15:55:44,"anonymous","EN",22,1,2,2,1,1,1,5,2,1,1,2,1,1,5,4,3,3,1,1,1,2,4,4,4,3,4,4,3,2,1,2,3,1,2,1,2,2,2,1,1,2,4,1,2,3,2,2,4,1,2,5,2,5,5,1,1,2,1,1,1,1,2,3,5,2,1,3,3,2,4,3,23,8,23,19,61,0,"18043",""
2017-12-03 00:22:08,2017-12-03 00:44:49,0,100,1361,1,2017-12-03 00:44:50,"anonymous","EN",22,1,2,1,1,1,1,5,2,3,2,1,1,1,5,4,3,5,2,1,1,4,4,3,4,2,2,4,3,2,1,1,3,1,1,1,1,1,2,1,2,2,4,1,2,3,2,1,3,2,4,2,1,1,2,1,1,2,1,1,1,1,3,3,4,2,1,3,3,2,3,6,19,5,19,24,55,0,"17846",""
2017-12-03 01:03:13,2017-12-03 01:06:24,0,100,190,1,2017-12-03 01:06:24,"anonymous","EN",20,1,2,3,4,4,3,5,4,3,3,3,3,3,5,4,3,4,4,1,3,3,4,4,3,3,4,4,2,3,1,1,2,2,1,2,2,5,4,4,4,4,4,5,5,5,5,5,4,4,5,5,4,4,4,1,4,5,5,5,5,1,4,4,1,4,4,5,5,5,5,4,22,7,22,26,121,1,"17554",""
2017-12-03 11:06:14,2017-12-03 11:25:02,0,100,1127,1,2017-12-03 11:25:03,"anonymous","EN",19,2,1,1,1,1,1,5,1,2,1,2,1,3,4,3,1,2,1,1,1,2,3,3,2,2,5,3,1,1,1,3,3,1,1,1,2,1,2,2,1,2,4,1,1,2,2,2,2,1,2,5,4,4,4,1,2,2,1,1,1,1,4,5,5,2,1,1,5,2,5,2,18,5,18,14,61,0,"17568",""
2017-12-03 11:23:57,2017-12-03 11:31:13,0,100,436,1,2017-12-03 11:31:14,"anonymous","EN",20,2,2,1,3,4,2,5,3,2,1,1,1,2,5,5,5,5,5,1,3,5,4,4,4,4,4,4,4,2,2,3,4,1,1,1,2,3,3,3,2,3,4,1,1,2,2,1,4,2,5,5,2,2,2,1,3,4,1,1,1,2,2,2,5,4,1,2,2,1,4,6,24,11,24,33,69,0,"17431",""
2017-12-03 13:15:39,2017-12-03 13:22:39,0,100,420,1,2017-12-03 13:22:40,"anonymous","EN",18,2,1,1,5,5,5,5,5,4,3,2,1,3,5,5,5,5,5,1,2,5,3,3,2,3,4,2,3,3,3,2,4,2,3,1,3,3,3,2,1,2,4,1,1,4,2,1,4,3,6,6,3,4,6,1,3,2,1,1,2,1,3,4,1,6,1,2,4,1,4,4,17,15,17,32,82,0,"17753",""
2017-12-03 13:28:08,2017-12-03 13:34:43,0,100,395,1,2017-12-03 13:34:44,"anonymous","EN",18,3,1,1,2,2,2,5,2,1,1,2,1,2,5,5,2,5,1,1,2,4,4,4,4,5,5,4,2,1,2,3,3,1,1,1,2,2,2,1,1,2,4,1,2,3,3,2,2,1,4,5,2,4,3,1,1,1,1,1,2,1,3,2,4,3,1,2,4,1,4,2,26,7,26,24,61,0,"17759",""
2017-12-03 13:44:31,2017-12-03 13:50:07,0,100,335,1,2017-12-03 13:50:08,"anonymous","EN",19,1,2,1,1,2,1,5,5,3,3,1,2,1,5,5,5,5,5,1,3,5,2,3,3,4,4,2,3,3,2,4,3,1,3,1,1,1,1,2,1,1,4,1,1,5,5,1,6,1,6,6,5,5,6,1,2,4,1,6,1,1,1,2,1,4,1,6,6,4,6,6,18,12,18,33,97,0,"17539",""
2017-12-03 16:17:06,2017-12-03 16:24:24,0,100,437,1,2017-12-03 16:24:24,"anonymous","EN",20,1,1,1,1,1,1,5,2,2,1,2,2,2,1,1,3,2,1,1,1,4,4,4,4,4,3,3,2,2,1,2,3,1,2,1,1,2,3,1,1,3,4,1,3,4,3,1,3,1,2,3,2,2,2,1,2,1,1,2,1,6,1,3,1,2,6,1,2,2,5,5,22,6,22,13,62,1,"18046",""
2017-12-03 17:43:10,2017-12-03 17:49:03,0,100,352,1,2017-12-03 17:49:03,"anonymous","EN",19,2,1,5,2,2,2,5,3,2,2,2,2,1,5,5,4,3,1,1,1,5,2,3,1,1,4,1,1,1,1,1,3,1,1,1,2,4,4,2,2,1,4,1,1,1,5,1,1,1,5,6,5,6,6,1,2,2,1,1,1,1,1,1,1,6,1,2,6,5,6,6,12,3,12,24,87,0,"18047",""
2017-12-03 20:58:09,2017-12-03 21:11:29,0,100,800,1,2017-12-03 21:11:31,"anonymous","EN",21,1,1,1,2,1,1,5,2,2,1,1,1,2,5,5,1,5,1,1,4,4,2,2,2,2,2,1,3,1,2,1,4,1,1,1,3,1,2,4,1,1,4,1,2,1,2,1,2,1,2,4,4,6,6,1,2,3,1,1,1,3,2,4,4,2,1,2,6,3,3,4,11,8,11,25,70,0,"18044",""
2017-12-03 21:08:47,2017-12-03 21:14:50,0,100,363,1,2017-12-03 21:14:50,"anonymous","EN",20,1,2,2,2,1,2,5,4,3,2,1,1,2,5,5,4,5,2,1,2,5,4,3,4,3,4,3,2,2,1,3,2,1,2,1,1,1,2,2,2,1,4,2,2,2,3,1,4,2,4,2,1,2,2,1,2,2,2,2,1,2,3,2,1,3,1,2,1,1,4,5,21,6,21,28,65,0,"18001",""
2017-12-03 21:21:19,2017-12-03 21:30:16,0,100,536,1,2017-12-03 21:30:16,"anonymous","EN",18,2,1,1,2,3,3,5,4,4,2,1,1,4,4,4,3,2,1,1,2,5,4,3,4,4,4,2,2,2,2,3,3,1,2,1,3,1,2,1,1,2,4,1,1,3,2,1,3,1,2,3,2,1,3,1,1,2,1,1,2,1,1,3,5,5,1,1,2,1,5,5,21,10,21,21,52,0,"17585",""
2017-12-04 10:46:59,2017-12-04 10:59:25,0,100,746,1,2017-12-04 10:59:26,"anonymous","EN",20,1,2,2,1,2,2,5,3,4,1,2,3,2,3,3,2,3,1,1,2,4,4,2,5,2,4,2,3,2,1,2,2,1,2,1,2,1,4,2,1,3,4,1,1,4,3,3,4,5,5,4,2,2,3,1,1,2,1,2,1,1,2,4,1,2,6,6,2,1,5,3,19,7,19,18,71,1,"18036",""
2017-12-04 11:54:52,2017-12-04 12:00:31,0,100,339,1,2017-12-04 12:00:32,"anonymous","EN",20,2,1,2,1,2,2,5,4,4,1,2,1,1,5,5,5,5,3,1,2,5,1,2,3,3,3,2,2,2,1,2,2,1,1,1,1,3,5,2,3,5,4,1,2,1,2,2,3,1,5,6,2,3,5,1,2,2,2,3,2,2,3,4,4,2,1,3,2,1,3,3,14,4,14,30,72,0,"17836",""
2017-12-04 15:57:29,2017-12-04 16:11:17,0,100,828,1,2017-12-04 16:11:18,"anonymous","EN",19,2,2,2,2,2,3,5,4,3,3,3,1,2,5,5,4,4,3,1,3,5,4,4,4,4,4,4,3,4,3,4,4,2,3,3,2,5,4,2,4,3,4,1,3,2,3,1,4,2,4,5,3,4,3,1,2,3,3,3,3,2,5,2,3,5,1,2,3,3,5,5,24,19,24,29,89,0,"18048",""
2017-12-04 16:19:07,2017-12-04 16:29:53,0,100,646,1,2017-12-04 16:29:53,"anonymous","EN",18,2,1,2,4,3,4,5,5,4,2,3,1,2,5,5,5,5,3,1,5,5,1,4,1,5,5,3,3,4,1,3,1,1,2,1,3,2,3,1,2,2,4,1,2,5,2,3,3,5,6,6,1,6,5,1,1,3,1,3,1,1,3,6,6,6,1,6,6,1,6,1,19,10,19,33,84,0,"17642",""
2017-12-04 19:46:25,2017-12-04 19:54:45,0,100,499,1,2017-12-04 19:54:45,"anonymous","EN",18,2,1,1,2,2,2,5,5,5,2,3,4,1,5,5,5,5,2,1,2,5,2,2,5,5,5,1,4,2,1,3,2,1,1,1,3,3,1,1,4,1,4,1,1,3,3,1,3,1,3,1,3,1,4,1,1,5,2,3,3,3,3,5,1,6,1,2,6,3,6,6,20,9,20,29,82,0,"17779",""
2017-12-05 04:07:05,2017-12-05 04:30:02,0,100,1377,1,2017-12-05 04:30:03,"anonymous","EN",21,1,2,2,2,2,2,5,3,3,2,3,2,2,5,5,3,5,3,1,2,5,1,1,3,3,3,2,3,2,1,2,3,1,2,1,2,2,3,1,1,4,4,1,1,1,2,3,4,3,1,5,3,5,5,1,2,2,2,4,4,2,2,4,1,3,1,2,6,2,4,6,13,8,13,28,82,0,"17966",""
2017-12-05 05:45:01,2017-12-05 05:51:05,0,100,364,1,2017-12-05 05:51:06,"anonymous","EN",21,1,2,2,1,1,1,5,4,3,1,4,1,1,5,5,5,5,5,1,2,2,1,1,2,2,2,3,3,2,1,2,2,1,1,1,3,4,2,6,3,1,4,1,2,2,5,2,4,4,3,4,4,4,5,1,2,5,1,2,1,1,3,6,2,5,1,1,6,6,6,6,11,7,11,29,95,0,"17469",""
2017-12-05 11:58:52,2017-12-05 12:08:19,0,100,566,1,2017-12-05 12:08:20,"anonymous","EN",18,1,1,1,1,1,1,5,4,4,1,1,2,1,5,5,5,5,1,1,2,5,5,3,3,3,5,2,2,3,1,2,4,1,3,1,1,3,2,2,2,2,4,5,3,3,2,1,6,4,6,5,2,2,3,1,2,2,2,5,3,1,5,2,2,2,1,2,4,4,5,5,21,9,21,28,89,0,"18058",""
2017-12-05 14:41:20,2017-12-05 14:49:51,0,100,510,1,2017-12-05 14:49:51,"anonymous","EN",19,1,2,1,2,1,1,5,3,3,1,1,1,2,5,5,5,5,1,1,2,5,2,3,4,3,3,2,2,1,1,3,4,1,1,1,2,4,1,1,1,1,4,1,1,1,2,1,4,1,5,5,2,5,5,1,1,2,1,1,1,1,4,3,4,2,6,1,5,3,5,6,17,7,17,28,71,1,"17857",""
2017-12-05 15:13:23,2017-12-05 15:27:31,0,100,847,1,2017-12-05 15:27:32,"anonymous","EN",19,1,2,1,2,2,1,5,2,3,1,1,3,4,5,5,5,2,1,1,2,1,4,4,3,4,4,3,2,1,2,1,4,1,1,1,3,2,3,5,4,2,4,1,2,5,6,1,5,3,3,6,2,3,5,1,2,2,1,2,2,1,3,3,4,3,1,5,4,3,6,5,22,7,22,21,87,0,"17960",""
2017-12-05 16:15:56,2017-12-05 17:07:15,0,100,3079,1,2017-12-05 17:07:16,"anonymous","EN",18,1,1,1,1,1,1,5,3,2,1,1,1,1,5,5,3,5,1,1,1,3,2,5,3,3,4,3,1,2,1,3,2,1,1,1,1,5,4,1,2,2,4,1,1,2,1,1,4,1,6,3,2,3,3,1,1,2,1,1,2,1,2,6,6,5,1,4,1,1,1,3,20,4,20,23,59,0,"17897",""
2017-12-05 20:38:54,2017-12-05 20:44:27,0,100,332,1,2017-12-05 20:44:27,"anonymous","EN",20,1,1,1,2,1,1,5,3,3,1,1,1,4,5,5,5,5,1,1,1,5,1,2,4,5,5,1,1,1,1,4,3,1,1,1,2,1,2,5,1,1,4,1,1,3,5,1,5,1,5,2,2,1,1,1,1,1,1,1,1,1,3,4,3,1,1,1,4,2,5,4,18,6,18,27,60,0,"18021",""
