id,income,gender,age,age_range,political_affiliation,education,ethnicity,marital_status,climate_change,transformers,books,ghosts,spending,choice,shower_pee
33,48000,Female,63,55-64,Republican,College degree,White,Married,Not Real At All,0,30,No,,Dumb and happy,
34,61000,Female,55,55-64,Independent,High school,White,Separated,Real and Caused by People,0,1,No,About Right,Dumb and happy,Unacceptable
35,67000,Female,56,55-64,Republican,College degree,White,Single,Real and Caused by People,0,1,Yes,Too Low,Smart and Sad,Unacceptable
36,58000,Male,54,45-54,,,White,,Real and Caused by People,0,0,Yes,,Dumb and happy,Unacceptable
37,,Female,50,45-54,Independent,College degree,Other,Married,Real but not Caused by People,0,30,Yes,Too High,Dumb and happy,Unacceptable
38,,Male,65,65+,Independent,Graduate degree,White,Married,Real but not Caused by People,5,10,No,Too Low,Dumb and happy,Unacceptable
39,,Female,73,65+,Democrat,College degree,Black,Widowed,Real but not Caused by People,2,200,Yes,Too Low,Smart and Sad,Unacceptable
40,,Male,44,35-44,Independent,Some college,Black,Married,Real but not Caused by People,3,6,No,About Right,Smart and Sad,Unacceptable
41,,Male,65,65+,Republican,Graduate degree,White,In a relationship,Real and Caused by People,0,7,No,Too Low,Dumb and happy,
42,,Female,25,25-34,Independent,Some college,White,Single,Real and Caused by People,4,124,Yes,About Right,Dumb and happy,Unacceptable
43,,Male,53,45-54,Republican,College degree,Black,Separated,Real but not Caused by People,0,1,No,Too High,,Unacceptable
44,,Male,30,25-34,Independent,College degree,Black,Married,Real and Caused by People,0,15,No,About Right,Smart and Sad,Unacceptable
45,,Male,73,65+,Independent,Some college,Black,Widowed,Not Real At All,0,8,No,About Right,Dumb and happy,Unacceptable
46,,Female,56,55-64,Democrat,College degree,White,Married,Real and Caused by People,0,10,No,Too Low,Smart and Sad,Acceptable
47,,Female,54,45-54,Independent,Graduate degree,,Married,Real but not Caused by People,0,5,No,Too High,Dumb and happy,
48,,Female,60,55-64,,Other,White,Separated,Real but not Caused by People,2,0,Yes,About Right,Smart and Sad,Unacceptable
49,,Female,19,18-24,Independent,Some college,White,Single,Real and Caused by People,1,5,Yes,Too Low,Smart and Sad,Acceptable
50,,Other,35,35-44,Democrat,Graduate degree,Asian,Married,Real and Caused by People,0,50,Yes,Too Low,Smart and Sad,Acceptable
51,,Female,31,25-34,,College degree,Black,Single,Real but not Caused by People,1,10,No,Too High,,Acceptable
52,,Female,31,25-34,Independent,College degree,White,Single,Real and Caused by People,0,5,Yes,Too Low,Dumb and happy,Acceptable
53,,Male,62,55-64,Independent,High school,White,Single,Real and Caused by People,3,1,Yes,Too High,Smart and Sad,Unacceptable
54,,Male,75,65+,Republican,High school,White,Married,Real but not Caused by People,,20,No,About Right,Smart and Sad,Acceptable
55,,Female,66,65+,Democrat,College degree,White,Widowed,Real and Caused by People,0,30,No,About Right,Smart and Sad,Unacceptable
56,,Male,58,55-64,Independent,Graduate degree,White,Single,Real and Caused by People,0,4,No,About Right,Dumb and happy,Acceptable
57,,Female,47,45-54,,Some college,White,In a relationship,Real and Caused by People,4,20,Yes,Too Low,Dumb and happy,Acceptable
58,,Male,18,18-24,Republican,High school,White,Single,Not Real At All,2,4,Yes,About Right,Dumb and happy,Acceptable
59,,Male,34,25-34,Republican,High school,White,Widowed,Not Real At All,5,1,Yes,Too High,Smart and Sad,Acceptable
60,,Female,63,55-64,Democrat,College degree,Black,Married,Real and Caused by People,4,6,No,About Right,Smart and Sad,Acceptable
61,,Male,28,25-34,Republican,Some college,White,In a relationship,Real and Caused by People,2,0,No,About Right,Dumb and happy,Acceptable
62,,Male,36,35-44,Democrat,Graduate degree,White,Married,Real and Caused by People,2,8,Yes,Too Low,Smart and Sad,Unacceptable
63,,Male,32,25-34,Independent,High school,White,Single,Real and Caused by People,4,18,No,About Right,Smart and Sad,Acceptable
64,,Male,55,55-64,Independent,Some college,White,Divorced,Real and Caused by People,1,0,Yes,About Right,Dumb and happy,Unacceptable
65,,Male,72,65+,Republican,College degree,White,Married,Real and Caused by People,0,6,Yes,About Right,Smart and Sad,Acceptable
66,,Male,31,25-34,Democrat,College degree,White,Single,Real and Caused by People,2,20,No,Too Low,Smart and Sad,Acceptable
67,,Female,41,35-44,Democrat,High school,Latino,Married,Real and Caused by People,2,0,No,Too Low,Dumb and happy,Unacceptable
68,,Male,48,45-54,,High school,White,In a relationship,Not Real At All,2,2,Yes,About Right,Dumb and happy,Unacceptable
69,,Female,86,65+,Independent,College degree,White,Married,,,2,No,,Dumb and happy,Acceptable
70,,Female,53,45-54,Democrat,College degree,White,Married,Real and Caused by People,0,50,No,Too Low,Smart and Sad,Acceptable
71,30000,Female,74,65+,Independent,High school,White,Divorced,Real and Caused by People,0,50,No,About Right,Dumb and happy,Unacceptable
72,52000,Female,33,25-34,,College degree,White,Married,Not Real At All,2,1000,Yes,Too High,Dumb and happy,Unacceptable
73,41000,Female,78,65+,Republican,Some college,White,Widowed,Not Real At All,0,0,No,About Right,Dumb and happy,Acceptable
74,106000,Male,45,45-54,,College degree,White,Married,Not Real At All,2,20,No,Too Low,Dumb and happy,Unacceptable
75,21000,Male,41,35-44,Democrat,High school,White,Divorced,Real and Caused by People,0,1,No,About Right,Dumb and happy,Unacceptable
76,107000,Male,76,65+,Independent,College degree,White,Married,Real and Caused by People,2,3,No,Too Low,Smart and Sad,Acceptable
77,53000,Female,65,65+,Republican,College degree,White,Married,Real and Caused by People,0,3,No,About Right,Smart and Sad,Unacceptable
78,26000,Male,48,45-54,Independent,Graduate degree,White,Married,Real and Caused by People,2,15,Yes,Too Low,Dumb and happy,Unacceptable
79,126000,Male,46,45-54,Independent,Some college,White,Married,Real but not Caused by People,3,1,No,Too Low,Smart and Sad,
80,179000,Male,50,45-54,Republican,Graduate degree,Latino,Married,Not Real At All,5,10,No,Too Low,Dumb and happy,Acceptable
81,122000,Female,48,45-54,Republican,College degree,White,Married,Not Real At All,2,20,No,Too High,Dumb and happy,Acceptable
82,113000,Female,54,45-54,Independent,Graduate degree,White,Divorced,Real and Caused by People,0,65,Yes,Too Low,Smart and Sad,Unacceptable
83,140000,Male,21,18-24,Independent,Some college,Black,Single,Real and Caused by People,3,3,No,Too Low,Dumb and happy,Unacceptable
84,207000,Female,48,45-54,Independent,Graduate degree,White,Married,Real and Caused by People,1,150,No,About Right,Dumb and happy,Unacceptable
85,182000,Female,42,35-44,Independent,Graduate degree,White,Married,Real and Caused by People,1,12,Yes,Too Low,Smart and Sad,Unacceptable
86,128000,Female,50,45-54,Independent,Some college,White,Married,Real and Caused by People,3,5,Yes,,Smart and Sad,Unacceptable
87,71000,Female,40,35-44,Independent,Graduate degree,White,Married,Real and Caused by People,0,60,No,Too Low,Smart and Sad,Acceptable
88,70000,Male,52,45-54,Republican,Some college,White,Married,,0,0,No,,Smart and Sad,
89,,Male,37,35-44,Independent,College degree,White,Divorced,Real and Caused by People,2,15,No,Too Low,Smart and Sad,Unacceptable
90,,Female,45,45-54,Independent,College degree,White,Married,Real and Caused by People,2,1,Yes,Too Low,Dumb and happy,Acceptable
91,,Female,27,25-34,,High school,White,In a relationship,Real and Caused by People,,3,No,About Right,Dumb and happy,Unacceptable
92,,Female,43,35-44,Independent,Some college,White,Married,Real and Caused by People,0,12,Yes,Too Low,Smart and Sad,Acceptable
93,,Male,28,25-34,Republican,Graduate degree,White,Single,Real but not Caused by People,1,16,No,Too Low,Smart and Sad,Acceptable
94,,Female,80,65+,Democrat,,White,Separated,Not Real At All,,25,No,About Right,Dumb and happy,Unacceptable
95,,Male,68,65+,Republican,Graduate degree,White,Married,Real but not Caused by People,0,3,No,Too High,Dumb and happy,Unacceptable
96,,Male,36,35-44,,Graduate degree,White,Married,Real and Caused by People,4,12,No,,Dumb and happy,Acceptable
97,,Female,53,45-54,Republican,Graduate degree,White,Married,Real and Caused by People,0,35,Yes,About Right,Dumb and happy,Acceptable
98,,Male,38,35-44,,Other,White,Married,,,10,Yes,Too High,Smart and Sad,Acceptable
99,,Female,37,35-44,Republican,College degree,White,Married,Real but not Caused by People,1,10,No,About Right,,
100,,Female,42,35-44,Independent,Some college,White,Divorced,Real and Caused by People,4,20,Yes,Too Low,Dumb and happy,Acceptable
101,,Male,24,18-24,,Some college,Other,Single,Real and Caused by People,2,,No,,,Unacceptable
102,,Female,50,45-54,Democrat,College degree,Other,Married,Not Real At All,,2,Yes,Too Low,Dumb and happy,Acceptable
103,,Male,53,45-54,Republican,Graduate degree,White,Married,Real and Caused by People,0,7,No,About Right,Dumb and happy,
104,,Female,30,25-34,Independent,Other,Asian,In a relationship,,1,20,No,About Right,Dumb and happy,Acceptable
105,,Female,20,18-24,Democrat,Some college,Black,Single,Real and Caused by People,0,10,Yes,About Right,Dumb and happy,Acceptable
106,,Male,67,65+,Republican,Some college,White,In a relationship,Not Real At All,0,4,No,About Right,Smart and Sad,Acceptable
107,77000,Male,18,18-24,Republican,High school,White,In a relationship,Real but not Caused by People,1,3,Yes,About Right,Smart and Sad,Unacceptable
108,,Female,34,25-34,Democrat,Graduate degree,Asian,Married,Real and Caused by People,0,60,No,Too Low,Smart and Sad,Unacceptable
109,,Male,60,55-64,Democrat,High school,Black,Single,Real and Caused by People,1,20,No,About Right,Dumb and happy,Unacceptable
110,,Male,25,25-34,,Some college,Latino,Married,Real and Caused by People,3,5,No,,,
111,,Male,56,55-64,Republican,Graduate degree,White,Married,Real but not Caused by People,2,4,Yes,Too High,Smart and Sad,Unacceptable
112,,Male,50,45-54,Republican,High school,White,In a relationship,Not Real At All,0,1,No,Too High,Dumb and happy,Unacceptable
113,96000,Female,61,55-64,Democrat,College degree,White,Married,Real and Caused by People,2,2,Yes,,Smart and Sad,Unacceptable
114,,Female,34,25-34,Independent,Some college,White,Divorced,Real and Caused by People,3,0,Yes,,Smart and Sad,Acceptable
115,,Female,55,55-64,Republican,Graduate degree,White,Widowed,Not Real At All,0,5,No,,,
116,,Male,25,25-34,Independent,High school,White,Married,Real and Caused by People,0,0,Yes,,Smart and Sad,Unacceptable
117,,Female,19,18-24,,Some college,White,Single,Real and Caused by People,2,2,Yes,About Right,Dumb and happy,Unacceptable
118,,Male,70,65+,Independent,,White,Married,Not Real At All,1,1,No,Too High,,
119,,Male,28,25-34,Independent,Some college,White,Married,Real and Caused by People,0,1,Yes,About Right,Dumb and happy,Acceptable
120,,Male,35,35-44,Independent,Graduate degree,White,Married,Real but not Caused by People,1,10,Yes,Too Low,Dumb and happy,Acceptable
121,,Other,27,25-34,Independent,College degree,White,In a relationship,Real and Caused by People,0,8,No,Too High,Dumb and happy,Acceptable
122,,Female,48,45-54,Independent,Some college,White,Single,Not Real At All,0,,Yes,,Dumb and happy,
123,,Female,50,45-54,,College degree,Other,In a relationship,Real and Caused by People,0,50,Yes,Too Low,Smart and Sad,Unacceptable
124,,Male,30,25-34,Independent,Graduate degree,Black,Married,Real and Caused by People,1,50,No,About Right,Smart and Sad,Unacceptable
125,,Female,35,35-44,Democrat,Other,Black,Separated,Real and Caused by People,5,8,Yes,Too Low,Dumb and happy,Acceptable
126,,Female,22,18-24,Democrat,College degree,White,In a relationship,Real and Caused by People,4,6,Yes,About Right,Dumb and happy,Acceptable
127,,Female,40,35-44,Democrat,College degree,White,Married,Real and Caused by People,0,20,Yes,Too Low,Dumb and happy,Unacceptable
128,,Female,70,65+,,High school,White,Widowed,Real but not Caused by People,0,10,No,Too High,Dumb and happy,Unacceptable
129,,Male,46,45-54,Independent,College degree,White,Married,Real and Caused by People,3,24,Yes,Too Low,Smart and Sad,Acceptable
130,,Male,42,35-44,Independent,Some college,Black,Divorced,Real and Caused by People,1,6,No,,Smart and Sad,Unacceptable
131,,Male,36,35-44,,College degree,White,Married,Real but not Caused by People,4,15,,Too Low,Dumb and happy,Acceptable
132,,Female,66,65+,,College degree,Asian,Married,Real and Caused by People,0,,,,,Unacceptable
133,,Female,71,65+,Democrat,Some college,White,Divorced,Real and Caused by People,,100,Yes,Too High,Smart and Sad,Unacceptable
134,,Male,25,25-34,Independent,Graduate degree,Asian,In a relationship,Real and Caused by People,0,5,No,Too High,Dumb and happy,Unacceptable
135,,Male,69,65+,Republican,Some college,White,Married,Real but not Caused by People,0,2,No,About Right,Dumb and happy,Acceptable
136,,Female,29,25-34,Independent,College degree,Other,Single,Real and Caused by People,2,20,No,Too Low,Smart and Sad,Acceptable
137,57000,Female,60,55-64,Republican,College degree,White,Married,Real and Caused by People,2,15,Yes,About Right,Smart and Sad,Unacceptable
138,,Female,70,65+,Democrat,College degree,Black,Married,Real and Caused by People,0,2,No,About Right,Dumb and happy,Unacceptable
139,101000,Male,45,45-54,Independent,College degree,Latino,Married,Real but not Caused by People,2,2,No,Too Low,Dumb and happy,Unacceptable
140,152000,Male,30,25-34,Republican,College degree,White,Married,Real but not Caused by People,3,25,No,Too High,Dumb and happy,Unacceptable
141,35000,Male,63,55-64,Republican,Graduate degree,White,Married,Real but not Caused by People,1,24,No,About Right,Smart and Sad,Acceptable
142,109000,Male,51,45-54,Democrat,College degree,White,Married,Real and Caused by People,0,3,No,Too Low,Smart and Sad,Acceptable
143,87000,Male,56,55-64,Republican,High school,White,Married,Real and Caused by People,0,3,No,About Right,Dumb and happy,Unacceptable
144,79000,Female,62,55-64,Democrat,Graduate degree,White,Married,Real and Caused by People,0,5,Yes,Too Low,Dumb and happy,Unacceptable
145,73000,Female,46,45-54,Democrat,Some college,White,Married,,0,0,Yes,,Dumb and happy,Unacceptable
146,89000,Female,83,65+,,High school,White,Widowed,Not Real At All,0,12,No,,,Unacceptable
147,250000,Male,48,45-54,Democrat,College degree,White,Married,Real and Caused by People,3,3,No,Too Low,Dumb and happy,Acceptable
148,93000,Female,54,45-54,Independent,Some college,Latino,Married,Real and Caused by People,2,15,Yes,Too Low,,Acceptable
149,21000,Female,64,55-64,Democrat,College degree,White,Single,Real but not Caused by People,3,0,No,About Right,,Unacceptable
150,80000,Female,62,55-64,Republican,College degree,White,Married,Real and Caused by People,0,125,No,Too Low,Smart and Sad,Acceptable
151,30000,Male,68,65+,,Some college,,Widowed,,0,,No,Too Low,Smart and Sad,
152,73000,Male,40,35-44,,College degree,,Single,Real but not Caused by People,,10,No,Too Low,Smart and Sad,Acceptable
153,133000,Male,53,45-54,Independent,College degree,White,Married,,1,3,No,Too Low,Smart and Sad,Unacceptable
154,74000,Female,85,65+,Democrat,Graduate degree,White,Widowed,Not Real At All,0,5,No,Too High,Dumb and happy,Unacceptable
155,67000,Male,55,55-64,Democrat,Some college,White,Married,Real but not Caused by People,2,0,No,Too Low,Dumb and happy,Acceptable
156,,Female,52,45-54,Democrat,College degree,White,Single,Real and Caused by People,0,3,Yes,Too Low,Dumb and happy,Unacceptable
157,,Male,68,65+,Republican,College degree,White,Married,Real but not Caused by People,2,5,No,Too Low,Dumb and happy,
158,,Female,59,55-64,Democrat,College degree,White,Married,Real and Caused by People,0,20,No,Too Low,Smart and Sad,Unacceptable
159,,Female,25,25-34,,High school,,Single,Real and Caused by People,3,50,Yes,About Right,Smart and Sad,Unacceptable
160,,Female,57,55-64,Republican,Some college,White,Married,Real and Caused by People,0,60,Yes,Too Low,Dumb and happy,Unacceptable
161,,Male,72,65+,Independent,High school,White,Widowed,Real and Caused by People,0,20,No,About Right,Dumb and happy,Unacceptable
162,,Male,66,65+,,College degree,Black,Married,Real and Caused by People,2,3,Yes,About Right,,Acceptable
163,,Male,49,45-54,Independent,Some college,White,Divorced,Real and Caused by People,1,20,No,Too Low,Smart and Sad,Unacceptable
164,,Male,44,35-44,,High school,White,Single,,5,,No,Too Low,Smart and Sad,Acceptable
165,,Male,58,55-64,Republican,High school,White,Married,Not Real At All,0,0,No,About Right,Dumb and happy,Unacceptable
166,,Male,55,55-64,Democrat,High school,Black,Single,Real and Caused by People,3,15,No,Too Low,Dumb and happy,Unacceptable
167,,Male,42,35-44,Republican,High school,White,In a relationship,Not Real At All,2,2,Yes,About Right,Dumb and happy,Unacceptable
168,,Other,34,25-34,Independent,Graduate degree,,,Real and Caused by People,1,30,No,,Dumb and happy,Acceptable
169,,Female,47,45-54,Independent,High school,White,In a relationship,,3,0,No,Too High,Dumb and happy,Acceptable
170,,Female,38,35-44,Democrat,College degree,White,Single,Real and Caused by People,2,0,Yes,About Right,Smart and Sad,Acceptable
171,,Male,31,25-34,Democrat,High school,Black,Single,Real but not Caused by People,3,2,Yes,Too Low,Dumb and happy,Unacceptable
172,,Male,49,45-54,Democrat,Some college,White,Married,Real but not Caused by People,0,10,No,About Right,Smart and Sad,Unacceptable
173,,Male,52,45-54,,Some college,Other,Single,Not Real At All,5,2,No,Too High,Dumb and happy,Unacceptable
174,,Female,63,55-64,Independent,Graduate degree,White,Single,,0,50,No,Too Low,Smart and Sad,Acceptable
175,,Male,26,25-34,Democrat,High school,Latino,In a relationship,Real and Caused by People,2,50,Yes,About Right,Dumb and happy,Unacceptable
176,,Male,43,35-44,Independent,College degree,White,Married,Real and Caused by People,0,20,No,Too Low,Dumb and happy,Unacceptable
177,,Male,19,18-24,Independent,Some college,Black,Single,Real and Caused by People,1,5,No,Too Low,Smart and Sad,Acceptable
178,,Male,22,18-24,,,White,Single,Not Real At All,,0,No,,Smart and Sad,Acceptable
179,,Male,39,35-44,Independent,College degree,Black,Married,Real and Caused by People,3,5,No,About Right,Smart and Sad,Unacceptable
180,,Male,65,65+,Independent,Some college,White,Married,Not Real At All,0,0,Yes,About Right,Smart and Sad,Acceptable
181,,Male,35,35-44,,Graduate degree,White,Married,,,8,Yes,,,
182,,Male,40,35-44,,College degree,Black,Married,Real and Caused by People,,10,No,Too High,Dumb and happy,Unacceptable
183,77000,Female,18,18-24,,Some college,White,Single,Real but not Caused by People,2,25,No,About Right,Smart and Sad,Unacceptable
184,112000,Female,59,55-64,Democrat,Graduate degree,Asian,Married,Real and Caused by People,0,2,No,,Dumb and happy,Unacceptable
185,71000,Female,58,55-64,,Some college,Asian,Single,Real and Caused by People,0,3,No,,Smart and Sad,Unacceptable
186,52000,Female,61,55-64,Independent,Some college,White,Widowed,Real and Caused by People,0,2,Yes,,Smart and Sad,Unacceptable
187,22000,Female,64,55-64,Independent,Some college,White,Divorced,Real and Caused by People,0,2,,About Right,Smart and Sad,Acceptable
188,136000,Female,64,55-64,Republican,College degree,White,Married,Real and Caused by People,0,5,No,,,Unacceptable
189,167000,Male,65,65+,Independent,College degree,White,Married,Real and Caused by People,0,12,No,Too Low,,
190,76000,Male,60,55-64,Independent,Graduate degree,,Divorced,Not Real At All,0,150,Yes,Too High,,Unacceptable
191,32000,Female,60,55-64,Democrat,College degree,Black,In a relationship,Real and Caused by People,0,6,No,About Right,Smart and Sad,Unacceptable
192,110000,Female,44,35-44,Republican,College degree,White,Married,Real and Caused by People,0,3,No,About Right,Dumb and happy,Acceptable
193,80000,Female,22,18-24,,College degree,White,In a relationship,,0,20,Yes,About Right,,Unacceptable
194,114000,Male,56,55-64,Independent,Graduate degree,White,Married,Real but not Caused by People,1,2,No,About Right,Smart and Sad,Acceptable
195,236000,Male,52,45-54,Independent,Graduate degree,White,Married,Real and Caused by People,1,6,,Too Low,Smart and Sad,Acceptable
196,48000,Male,64,55-64,Democrat,High school,Black,Married,Real and Caused by People,,,No,About Right,Smart and Sad,Unacceptable
197,25000,Female,45,45-54,Democrat,High school,Latino,Single,Real and Caused by People,0,2,Yes,,,Acceptable
198,143000,Male,52,45-54,,Graduate degree,,,,5,20,No,Too Low,Smart and Sad,Acceptable
199,17000,Female,63,55-64,Independent,Some college,Black,Divorced,,0,10,No,,Dumb and happy,Unacceptable
200,138000,Male,49,45-54,Democrat,College degree,White,Married,Real but not Caused by People,0,3,No,Too Low,Smart and Sad,Acceptable
201,100000,Male,19,18-24,Independent,Some college,White,Single,Real and Caused by People,0,4,No,,Smart and Sad,Acceptable
202,104000,Female,70,65+,Democrat,College degree,White,Single,Real and Caused by People,5,60,Yes,Too Low,Smart and Sad,Acceptable
203,85000,Female,60,55-64,Democrat,Graduate degree,Black,Single,Real but not Caused by People,0,50,No,Too High,,Unacceptable
204,202000,Male,40,35-44,Independent,Graduate degree,White,Married,Real and Caused by People,0,15,No,Too Low,Smart and Sad,Acceptable
205,41000,Female,41,35-44,Independent,College degree,White,Married,Real and Caused by People,5,7,Yes,Too Low,Smart and Sad,Unacceptable
206,65000,Female,50,45-54,Independent,Some college,Black,Married,Real and Caused by People,2,0,No,Too Low,Dumb and happy,Unacceptable
207,147000,Male,64,55-64,Democrat,College degree,White,Married,Real and Caused by People,3,3,No,Too Low,Smart and Sad,Unacceptable
208,19000,Male,83,65+,Republican,High school,White,Widowed,Real and Caused by People,,3,Yes,Too Low,Dumb and happy,Unacceptable
209,97000,Female,53,45-54,Independent,College degree,Asian,Married,Real and Caused by People,5,1,Yes,About Right,Dumb and happy,Unacceptable
210,105000,Male,68,65+,Independent,Graduate degree,White,Single,Real but not Caused by People,3,4,Yes,About Right,Smart and Sad,Unacceptable
211,132000,Male,60,55-64,Independent,Some college,,Married,Real and Caused by People,0,6,No,About Right,Smart and Sad,Unacceptable
212,153000,Female,58,55-64,Republican,Graduate degree,White,Married,Real and Caused by People,0,10,Yes,About Right,Dumb and happy,Unacceptable
213,17000,Female,53,45-54,Democrat,Some college,Black,Married,Real and Caused by People,2,2,No,Too Low,Dumb and happy,Unacceptable
214,45000,Female,26,25-34,Independent,High school,Latino,In a relationship,Not Real At All,3,3,No,About Right,Dumb and happy,Unacceptable
215,35000,Male,58,55-64,Democrat,High school,Black,In a relationship,Not Real At All,0,0,Yes,Too High,Smart and Sad,Acceptable
216,90000,Female,37,35-44,Independent,College degree,White,Married,Real but not Caused by People,0,120,No,Too Low,Dumb and happy,Acceptable
217,62000,Male,52,45-54,Independent,Graduate degree,White,Married,Not Real At All,1,4,No,About Right,Smart and Sad,Unacceptable
218,71000,Female,56,55-64,,High school,White,Married,Real and Caused by People,2,3,No,Too Low,Dumb and happy,Acceptable
219,118000,Male,50,45-54,Republican,Some college,White,Married,Not Real At All,4,0,No,,Dumb and happy,Acceptable
220,159000,Female,47,45-54,Democrat,College degree,White,Married,Real and Caused by People,2,4,Yes,Too Low,Dumb and happy,Unacceptable
221,5000,Female,55,55-64,Republican,High school,White,In a relationship,Real but not Caused by People,4,5,Yes,Too Low,Dumb and happy,Acceptable
222,436000,Male,55,55-64,Independent,College degree,Asian,Married,Real and Caused by People,2,3,Yes,Too Low,Dumb and happy,Acceptable
223,97000,Female,61,55-64,Republican,College degree,White,Married,Real and Caused by People,0,10,No,Too Low,Dumb and happy,Unacceptable
224,22000,Male,64,55-64,,,Other,Widowed,Real and Caused by People,,4,,Too Low,Dumb and happy,Acceptable
225,19000,Female,54,45-54,Republican,Some college,White,In a relationship,Real and Caused by People,1,15,Yes,,Dumb and happy,Unacceptable
226,200000,Female,52,45-54,,Some college,White,Married,Real but not Caused by People,2,200,,Too Low,Smart and Sad,Unacceptable
227,51000,Female,71,65+,Republican,Some college,White,Married,Real but not Caused by People,0,16,Yes,Too High,Smart and Sad,Unacceptable
228,7000,Female,58,55-64,Republican,High school,White,Single,Real but not Caused by People,0,3,No,Too High,Smart and Sad,Unacceptable
229,18000,Female,40,35-44,Democrat,Some college,White,Divorced,Not Real At All,,100,No,Too High,Dumb and happy,Unacceptable
230,56000,Female,59,55-64,Democrat,High school,White,Married,Real and Caused by People,0,0,No,Too Low,Smart and Sad,Unacceptable
231,140000,Female,42,35-44,Democrat,Graduate degree,White,Married,Real and Caused by People,0,225,No,Too Low,Smart and Sad,
232,31000,Female,38,35-44,Independent,College degree,White,Single,Real and Caused by People,1,20,Yes,Too Low,Smart and Sad,Unacceptable
233,93000,Female,64,55-64,Democrat,Some college,White,Married,Real and Caused by People,0,5,,About Right,Dumb and happy,Unacceptable
