ID,Progress,Duration (in seconds),Consent,genderid,genderid_7_TEXT,sex,age,year_school,Q85,Q85_6_TEXT,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,Sleep Quality,Hours of Sleep
1028,100,1853,1,5,,2,20,3,1,,5,3,7,6,6,3,2,1,3,2,1,7
1029,100,4462,1,5,,2,21,3,2,,3,5,4,7,7,6,6,4,3,5,3,7
1030,100,1621,1,7,pangender,2,18,1,3,,2,5,5,6,5,6,3,4,4,3,2,7
1031,100,1309,1,6,,2,20,3,6,Queer,3,5,4,5,3,5,6,5,4,3,2,7
1032,100,1950,1,5,,2,21,3,1,,2,1,6,5,3,5,3,4,5,2,2,7
1033,100,1661,1,5,,2,20,3,1,,2,4,6,7,5,7,6,2,6,2,1,8
1034,100,968,1,4,,1,31,5,1,,4,6,3,5,5,4,6,6,4,3,1,7
1035,100,1618,1,5,,2,20,2,1,,2,2,5,3,3,5,4,2,5,3,3,7
1036,100,1183,1,4,,1,19,1,1,,5,5,6,4,5,5,6,6,6,3,3,7
1037,100,864,1,4,,1,19,2,3,,7,5,6,3,6,2,6,1,4,2,2,7
1038,100,1239,1,5,,2,19,2,1,,6,5,7,5,6,4,3,1,6,4,5,7
1039,100,1582,1,5,,2,20,2,1,,5,5,6,3,6,5,6,3,5,3,3,7
1040,100,1002,1,4,,1,19,2,2,,7,7,7,2,6,2,3,2,5,2,2,7
1041,50,4325,1,4,,1,21,3,1,,2,2,2,2,2,2,2,2,5,6,,
1042,100,2936,1,5,,2,19,2,1,,2,4,4,7,6,4,6,3,3,1,2,7
1043,100,20197,1,5,,2,19,2,1,,6,5,5,4,7,5,7,2,4,2,2,7
1044,100,1661,1,4,,1,17,1,1,,3,4,6,1,7,6,7,1,6,3,2,5
1045,100,1346,1,4,,1,20,3,1,,2,5,5,3,5,6,4,3,4,6,3,7
1046,100,1776,1,4,,1,20,2,1,,6,2,7,2,6,2,7,1,7,6,1,7
1047,100,1632,1,4,,1,21,3,1,,1,6,6,6,1,7,5,2,7,4,3,8
1048,100,1472,1,4,,1,18,1,1,,1,1,1,5,6,6,7,1,7,1,5,7
1049,100,1512,1,4,,1,20,2,1,,5,4,5,5,5,6,5,4,3,2,2,7
1050,100,1603,1,4,,1,18,1,1,,3,2,6,1,7,5,5,2,6,5,2,1
1051,100,1145,1,4,,1,19,1,1,,2,5,6,2,6,6,5,5,6,3,3,7
1052,100,2643,1,5,,2,19,1,5,,2,5,6,6,5,5,6,6,4,2,2,5
1053,100,2530,1,5,,2,20,3,1,,7,5,7,4,6,2,5,4,4,5,3,7
1054,100,1735,1,4,,1,20,2,1,,2,2,6,2,4,4,6,3,3,4,5,7
1055,14,100,1,,,,,,,,1,1,2,2,1,2,2,3,3,1,,
1056,100,1275,1,4,,1,19,1,1,,5,4,5,4,5,4,4,2,4,4,2,5
1057,100,581,1,5,,2,21,4,1,,6,5,5,3,6,2,3,5,4,1,2,7
1058,100,2092,1,4,,1,24,5,1,,1,3,5,5,6,6,6,5,5,2,3,8
1059,100,1598,1,4,,1,22,4,2,,3,6,4,5,5,7,6,6,7,2,3,7
1060,100,1000,1,6,,2,23,5,3,,3,5,6,5,7,5,4,3,4,3,5,7
1061,100,1601,1,4,,1,20,2,1,,3,4,6,4,5,6,5,3,6,2,2,5
1062,100,2213,1,4,,1,20,2,1,,5,2,7,1,6,5,6,2,7,1,3,7
1063,100,1564,1,5,,2,18,1,1,,1,3,7,6,3,7,5,2,5,3,2,5
1064,100,241717,1,5,,2,18,1,1,,2,4,5,3,6,7,4,3,5,4,5,7
1065,100,1087,1,4,,1,19,2,1,,6,2,7,3,6,2,6,3,5,3,2,5
1066,100,1036,1,4,,1,19,2,1,,6,6,4,3,5,3,5,1,4,3,3,5
1067,100,859,1,4,,1,21,3,1,,5,5,3,2,6,6,7,5,4,4,3,7
1068,100,1556,1,5,,2,21,3,3,,6,2,5,4,5,2,7,2,5,2,2,7
1069,100,1444,1,5,,2,19,1,1,,3,5,7,2,3,5,2,1,6,5,2,7
1070,100,2121,1,4,,1,19,1,1,,3,3,4,4,5,6,6,6,5,4,5,5
1071,100,724,1,5,,2,18,1,1,,6,4,6,3,5,5,6,4,5,3,5,7
1072,100,3791,1,4,,1,21,4,1,,2,5,4,5,5,6,5,5,4,5,3,7
1073,100,1587,1,5,,2,20,2,1,,3,1,5,5,6,2,6,5,3,2,2,7
1074,100,1959,1,5,,2,19,1,1,,2,1,3,6,5,6,7,3,6,4,2,7
1075,100,1223,1,5,,2,20,3,1,,5,6,6,6,6,3,5,2,6,1,2,7
1076,100,252521,1,4,,1,20,3,3,,6,4,5,3,7,4,5,1,6,4,2,7
1077,100,1442,1,4,,1,21,4,1,,5,5,6,3,3,5,5,3,6,2,2,7
1078,100,738,1,4,,1,18,1,1,,4,4,5,4,4,4,4,4,5,4,1,5
1079,100,1783,1,1,,2,22,3,5,,1,6,6,6,5,7,5,2,3,4,2,5
1080,100,1457,1,4,,1,20,1,1,,5,6,6,2,4,3,6,3,5,6,3,7
1081,100,1236,1,4,,1,22,5,1,,5,6,6,5,6,6,6,5,3,5,3,7
1082,100,1001,1,4,,1,20,3,1,,2,2,6,6,5,6,5,5,3,3,1,7
1083,100,1935,1,5,,2,20,3,6,Questioning,6,5,4,6,5,3,6,6,3,2,2,5
1084,100,1531,1,1,,2,19,1,3,,7,1,2,2,6,1,7,6,6,3,1,7
1085,100,824,1,5,,2,20,2,3,,3,1,3,6,7,7,7,6,5,1,3,7
1086,100,1947,1,4,,1,20,3,2,,1,3,6,7,4,6,5,5,5,3,5,7
1087,100,673,1,4,,1,19,2,1,,2,3,4,5,4,5,5,3,4,3,3,5
1088,100,2609,1,5,,2,19,1,1,,5,5,7,5,6,6,7,1,6,1,2,5
1089,100,1295,1,4,,1,19,1,7,,1,6,6,6,7,7,4,4,6,7,1,7
1090,100,1427,1,4,,1,18,2,1,,1,6,7,1,3,6,3,2,7,6,2,7
1091,100,2037,1,4,,1,22,5,1,,6,4,6,4,5,3,7,1,5,1,3,7
1092,100,2102,1,5,,2,20,3,1,,5,4,6,4,7,4,5,2,5,1,3,7
1093,1,62,1,,,,,,,,,,,,,,,,,,,
1094,100,1642,1,4,,1,21,3,1,,3,5,6,5,5,6,6,3,6,5,5,7
1095,100,1406,1,5,,2,19,2,5,,1,5,5,6,6,7,7,7,6,6,1,7
1096,62,590029,1,5,,2,25,3,7,,2,5,5,5,3,5,5,4,6,3,,
1097,100,892,1,5,,2,21,4,1,,3,5,5,6,5,6,7,5,6,3,2,7
1098,1,12,1,,,,,,,,,,,,,,,,,,,
1099,1,7,1,,,,,,,,,,,,,,,,,,,
1100,100,1524,1,4,,1,19,1,4,,6,7,5,7,6,5,7,5,3,1,1,5
1101,100,1219,1,5,,2,19,1,1,,5,4,3,2,4,4,6,3,7,2,3,7
1102,100,1094,1,5,,2,18,1,3,,3,4,7,5,6,4,7,5,7,3,5,7
1103,100,13874,1,5,,2,21,4,1,,2,4,4,5,6,7,7,5,7,1,2,7
1104,100,1019,1,4,,1,21,3,1,,2,3,5,4,5,7,5,3,5,4,2,7
1105,100,930,1,3,,2,20,2,3,,6,7,5,5,6,6,3,6,4,2,2,7
1106,100,1213,1,4,,1,19,1,1,,5,5,6,3,7,6,6,4,5,5,2,7
1107,100,1461,1,5,,2,18,1,1,,4,5,5,5,5,6,5,2,4,3,1,7
1108,100,1985,1,5,,2,19,1,5,,2,3,3,5,6,3,6,2,6,2,2,7
1109,100,1289,1,4,,1,18,3,1,,5,3,6,2,6,4,6,2,6,5,3,7
1110,100,1165,1,4,,1,18,1,1,,5,3,5,3,5,3,4,5,5,5,3,7
1111,100,987,1,4,,1,19,1,1,,7,6,7,2,7,2,5,1,6,2,3,7
1112,100,38224,1,5,,2,18,1,1,,5,4,6,3,7,5,5,2,7,4,3,5
1113,1,20,1,,,,,,,,,,,,,,,,,,,
1114,88,1094,1,5,,2,19,1,3,,5,2,6,1,5,6,7,3,7,6,3,7
1115,91,1624,1,5,,2,19,1,1,,6,5,6,4,6,4,5,3,5,3,5,8
