"age","gender","roommate","other_sleep","bed_read","bed_study","bed_hw","attention1","bed_internet","bed_tv","bed_eat","bed_friends","bed_videogame","bed_readp","BL_1","BL_2","BL_3","BL_4","BL_5","attention2","BL_6","BL_7","sleepsat1","sleepsat2","sleepsat3","sleepsat4","sleepsat5","sleepsat6","ESS1","ESS2","ESS3","ESS4","ESS5","ESS6","ESS7","ESS8","ESS00","ashs1","ashs2","ashs3","ashs4","ashs5","attention3","ashs6","ashs7","ashs8","ashs9","ashs10","ashs11","ashs12","ashs13","ashs14","ashs15","ashs16","ashs17","attention4","ashs18","ashs19","ashs20","ashs21","ashs22","ashs23","ashs24","ashs26","ashs27","ashs28","attention5","ashs29","ashs30","ashs31","ashs32","ashs33","id","ESS1m1","ESS2m1","ESS3m1","ESS4m1","ESS5m1","ESS6m1","ESS7m1","ESS8m1","ess_total","attention1r","attention2r","attention3r","attention4r","attention5r","att_sum"
22,1,2,2,1,1,1,5,2,3,1,1,1,1,5,5,5,5,1,1,3,5,3,4,4,3,4,4,3,1,2,4,2,2,2,1,3,2,2,2,1,2,4,1,2,1,3,1,4,1,2,5,1,3,3,1,3,3,1,1,1,1,2,4,4,1,1,1,4,4,5,5,17586,2,0,1,3,1,1,1,0,9,1,1,1,1,1,5
21,1,2,1,1,1,3,5,3,2,1,1,1,1,5,5,5,5,4,1,1,5,4,4,3,2,4,4,2,3,4,4,4,2,3,1,4,3,4,2,1,4,4,3,3,5,3,1,4,3,3,5,4,5,6,1,2,2,1,2,1,1,1,3,1,5,1,2,5,3,6,6,18030,1,2,3,3,3,1,2,0,15,1,1,1,1,1,5
21,3,1,1,2,1,2,5,2,4,1,2,1,2,5,3,3,5,3,1,2,5,3,4,3,1,4,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,4,5,2,3,5,1,5,1,5,5,3,3,4,1,2,3,2,1,1,1,4,5,2,5,1,1,5,5,5,6,18037,0,0,0,0,1,0,0,0,1,1,1,1,1,1,5
21,1,2,2,3,4,1,5,3,4,1,1,2,2,5,5,5,5,3,1,3,5,4,4,3,4,3,2,2,3,1,4,4,1,2,1,2,3,3,5,2,3,4,1,3,3,2,1,4,2,5,5,3,4,4,1,2,1,3,5,1,1,1,3,4,3,1,3,4,2,6,6,16108,1,2,0,3,3,0,1,0,10,1,1,1,1,1,5
25,1,2,1,3,2,1,5,2,2,1,1,1,4,5,5,4,5,1,1,2,5,2,1,1,4,4,1,2,3,2,2,3,1,2,1,2,2,2,3,2,2,4,5,2,2,1,1,2,3,4,5,2,3,4,1,1,1,1,1,1,1,1,4,1,3,1,2,6,6,6,6,18038,1,2,1,1,2,0,1,0,8,1,1,1,1,1,5
19,1,2,1,2,2,2,5,2,2,2,2,2,2,4,3,2,2,1,1,1,1,3,2,2,3,3,1,1,2,1,1,4,1,1,1,1,2,2,3,2,2,4,3,2,2,2,1,2,1,2,4,3,2,3,1,2,2,1,1,1,1,1,2,1,4,6,2,3,3,3,3,18025,0,1,0,0,3,0,0,0,4,1,1,1,1,0,4
19,1,1,2,1,2,1,5,3,2,2,2,2,1,5,2,3,5,1,1,1,3,2,3,3,5,5,2,4,2,2,4,3,1,3,1,2,3,2,1,2,3,4,1,1,5,2,1,2,6,2,3,1,1,3,1,1,3,1,1,1,1,2,3,4,3,1,2,5,3,2,1,17994,3,1,1,3,2,0,2,0,12,1,1,1,1,1,5
18,1,1,1,2,3,4,5,3,4,2,2,3,2,5,5,5,5,2,1,1,5,4,4,3,4,5,2,3,2,3,2,2,1,1,1,4,2,4,1,1,4,4,1,1,4,3,4,5,2,6,4,3,2,4,1,2,2,1,2,2,1,2,4,3,5,1,1,5,2,6,5,17738,2,1,2,1,1,0,0,0,7,1,1,1,1,1,5
20,1,2,3,1,1,1,5,5,2,2,1,1,1,5,5,5,5,5,1,5,5,1,1,1,1,1,1,2,2,2,2,3,1,1,1,3,3,2,2,2,2,4,2,1,1,5,1,5,1,6,6,6,6,6,1,2,3,6,6,4,3,3,6,5,6,1,4,6,6,6,6,18040,1,1,1,1,2,0,0,0,6,1,1,1,1,1,5
18,1,1,1,1,1,1,5,3,4,1,2,1,1,5,5,5,5,1,1,2,5,4,3,3,2,3,3,2,2,1,2,4,1,1,1,2,2,1,2,2,1,4,2,1,6,2,1,6,2,6,6,2,3,3,1,1,3,2,1,1,1,1,3,5,4,1,3,6,4,6,6,18011,1,1,0,1,3,0,0,0,6,1,1,1,1,1,5
22,1,2,2,1,1,1,5,2,1,1,2,1,1,5,4,3,3,1,1,1,2,4,4,4,3,4,4,3,2,1,2,3,1,2,1,2,2,2,1,1,2,4,1,2,3,2,2,4,1,2,5,2,5,5,1,1,2,1,1,1,1,2,3,5,2,1,3,3,2,4,3,18043,2,1,0,1,2,0,1,0,7,1,1,1,1,1,5
22,1,2,1,1,1,1,5,2,3,2,1,1,1,5,4,3,5,2,1,1,4,4,3,4,2,2,4,3,2,1,1,3,1,1,1,1,1,2,1,2,2,4,1,2,3,2,1,3,2,4,2,1,1,2,1,1,2,1,1,1,1,3,3,4,2,1,3,3,2,3,6,17846,2,1,0,0,2,0,0,0,5,1,1,1,1,1,5
20,1,2,3,4,4,3,5,4,3,3,3,3,3,5,4,3,4,4,1,3,3,4,4,3,3,4,4,2,3,1,1,2,2,1,2,2,5,4,4,4,4,4,5,5,5,5,5,4,4,5,5,4,4,4,1,4,5,5,5,5,1,4,4,1,4,4,5,5,5,5,4,17554,1,2,0,0,1,1,0,1,6,1,1,1,1,0,4
19,2,1,1,1,1,1,5,1,2,1,2,1,3,4,3,1,2,1,1,1,2,3,3,2,2,5,3,1,1,1,3,3,1,1,1,2,1,2,2,1,2,4,1,1,2,2,2,2,1,2,5,4,4,4,1,2,2,1,1,1,1,4,5,5,2,1,1,5,2,5,2,17568,0,0,0,2,2,0,0,0,4,1,1,1,1,1,5
20,2,2,1,3,4,2,5,3,2,1,1,1,2,5,5,5,5,5,1,3,5,4,4,4,4,4,4,4,2,2,3,4,1,1,1,2,3,3,3,2,3,4,1,1,2,2,1,4,2,5,5,2,2,2,1,3,4,1,1,1,2,2,2,5,4,1,2,2,1,4,6,17431,3,1,1,2,3,0,0,0,10,1,1,1,1,1,5
18,2,1,1,5,5,5,5,5,4,3,2,1,3,5,5,5,5,5,1,2,5,3,3,2,3,4,2,3,3,3,2,4,2,3,1,3,3,3,2,1,2,4,1,1,4,2,1,4,3,6,6,3,4,6,1,3,2,1,1,2,1,3,4,1,6,1,2,4,1,4,4,17753,2,2,2,1,3,1,2,0,13,1,1,1,1,1,5
18,3,1,1,2,2,2,5,2,1,1,2,1,2,5,5,2,5,1,1,2,4,4,4,4,5,5,4,2,1,2,3,3,1,1,1,2,2,2,1,1,2,4,1,2,3,3,2,2,1,4,5,2,4,3,1,1,1,1,1,2,1,3,2,4,3,1,2,4,1,4,2,17759,1,0,1,2,2,0,0,0,6,1,1,1,1,1,5
19,1,2,1,1,2,1,5,5,3,3,1,2,1,5,5,5,5,5,1,3,5,2,3,3,4,4,2,3,3,2,4,3,1,3,1,1,1,1,2,1,1,4,1,1,5,5,1,6,1,6,6,5,5,6,1,2,4,1,6,1,1,1,2,1,4,1,6,6,4,6,6,17539,2,2,1,3,2,0,2,0,12,1,1,1,1,1,5
20,1,1,1,1,1,1,5,2,2,1,2,2,2,1,1,3,2,1,1,1,4,4,4,4,4,3,3,2,2,1,2,3,1,2,1,1,2,3,1,1,3,4,1,3,4,3,1,3,1,2,3,2,2,2,1,2,1,1,2,1,6,1,3,1,2,6,1,2,2,5,5,18046,1,1,0,1,2,0,1,0,6,1,1,1,1,0,4
19,2,1,5,2,2,2,5,3,2,2,2,2,1,5,5,4,3,1,1,1,5,2,3,1,1,4,1,1,1,1,1,3,1,1,1,2,4,4,2,2,1,4,1,1,1,5,1,1,1,5,6,5,6,6,1,2,2,1,1,1,1,1,1,1,6,1,2,6,5,6,6,18047,0,0,0,0,2,0,0,0,2,1,1,1,1,1,5
21,1,1,1,2,1,1,5,2,2,1,1,1,2,5,5,1,5,1,1,4,4,2,2,2,2,2,1,3,1,2,1,4,1,1,1,3,1,2,4,1,1,4,1,2,1,2,1,2,1,2,4,4,6,6,1,2,3,1,1,1,3,2,4,4,2,1,2,6,3,3,4,18044,2,0,1,0,3,0,0,0,6,1,1,1,1,1,5
20,1,2,2,2,1,2,5,4,3,2,1,1,2,5,5,4,5,2,1,2,5,4,3,4,3,4,3,2,2,1,3,2,1,2,1,1,1,2,2,2,1,4,2,2,2,3,1,4,2,4,2,1,2,2,1,2,2,2,2,1,2,3,2,1,3,1,2,1,1,4,5,18001,1,1,0,2,1,0,1,0,6,1,1,1,1,1,5
18,2,1,1,2,3,3,5,4,4,2,1,1,4,4,4,3,2,1,1,2,5,4,3,4,4,4,2,2,2,2,3,3,1,2,1,3,1,2,1,1,2,4,1,1,3,2,1,3,1,2,3,2,1,3,1,1,2,1,1,2,1,1,3,5,5,1,1,2,1,5,5,17585,1,1,1,2,2,0,1,0,8,1,1,1,1,1,5
20,1,2,2,1,2,2,5,3,4,1,2,3,2,3,3,2,3,1,1,2,4,4,2,5,2,4,2,3,2,1,2,2,1,2,1,2,1,4,2,1,3,4,1,1,4,3,3,4,5,5,4,2,2,3,1,1,2,1,2,1,1,2,4,1,2,6,6,2,1,5,3,18036,2,1,0,1,1,0,1,0,6,1,1,1,1,0,4
20,2,1,2,1,2,2,5,4,4,1,2,1,1,5,5,5,5,3,1,2,5,1,2,3,3,3,2,2,2,1,2,2,1,1,1,1,3,5,2,3,5,4,1,2,1,2,2,3,1,5,6,2,3,5,1,2,2,2,3,2,2,3,4,4,2,1,3,2,1,3,3,17836,1,1,0,1,1,0,0,0,4,1,1,1,1,1,5
19,2,2,2,2,2,3,5,4,3,3,3,1,2,5,5,4,4,3,1,3,5,4,4,4,4,4,4,3,4,3,4,4,2,3,3,2,5,4,2,4,3,4,1,3,2,3,1,4,2,4,5,3,4,3,1,2,3,3,3,3,2,5,2,3,5,1,2,3,3,5,5,18048,2,3,2,3,3,1,2,2,18,1,1,1,1,1,5
18,2,1,2,4,3,4,5,5,4,2,3,1,2,5,5,5,5,3,1,5,5,1,4,1,5,5,3,3,4,1,3,1,1,2,1,3,2,3,1,2,2,4,1,2,5,2,3,3,5,6,6,1,6,5,1,1,3,1,3,1,1,3,6,6,6,1,6,6,1,6,1,17642,2,3,0,2,0,0,1,0,8,1,1,1,1,1,5
18,2,1,1,2,2,2,5,5,5,2,3,4,1,5,5,5,5,2,1,2,5,2,2,5,5,5,1,4,2,1,3,2,1,1,1,3,3,1,1,4,1,4,1,1,3,3,1,3,1,3,1,3,1,4,1,1,5,2,3,3,3,3,5,1,6,1,2,6,3,6,6,17779,3,1,0,2,1,0,0,0,7,1,1,1,1,1,5
21,1,2,2,2,2,2,5,3,3,2,3,2,2,5,5,3,5,3,1,2,5,1,1,3,3,3,2,3,2,1,2,3,1,2,1,2,2,3,1,1,4,4,1,1,1,2,3,4,3,1,5,3,5,5,1,2,2,2,4,4,2,2,4,1,3,1,2,6,2,4,6,17966,2,1,0,1,2,0,1,0,7,1,1,1,1,1,5
21,1,2,2,1,1,1,5,4,3,1,4,1,1,5,5,5,5,5,1,2,2,1,1,2,2,2,3,3,2,1,2,2,1,1,1,3,4,2,6,3,1,4,1,2,2,5,2,4,4,3,4,4,4,5,1,2,5,1,2,1,1,3,6,2,5,1,1,6,6,6,6,17469,2,1,0,1,1,0,0,0,5,1,1,1,1,1,5
18,1,1,1,1,1,1,5,4,4,1,1,2,1,5,5,5,5,1,1,2,5,5,3,3,3,5,2,2,3,1,2,4,1,3,1,1,3,2,2,2,2,4,5,3,3,2,1,6,4,6,5,2,2,3,1,2,2,2,5,3,1,5,2,2,2,1,2,4,4,5,5,18058,1,2,0,1,3,0,2,0,9,1,1,1,1,1,5
19,1,2,1,2,1,1,5,3,3,1,1,1,2,5,5,5,5,1,1,2,5,2,3,4,3,3,2,2,1,1,3,4,1,1,1,2,4,1,1,1,1,4,1,1,1,2,1,4,1,5,5,2,5,5,1,1,2,1,1,1,1,4,3,4,2,6,1,5,3,5,6,17857,1,0,0,2,3,0,0,0,6,1,1,1,1,0,4
19,1,2,1,2,2,1,5,2,3,1,1,3,4,5,5,5,2,1,1,2,1,4,4,3,4,4,3,2,1,2,1,4,1,1,1,3,2,3,5,4,2,4,1,2,5,6,1,5,3,3,6,2,3,5,1,2,2,1,2,2,1,3,3,4,3,1,5,4,3,6,5,17960,1,0,1,0,3,0,0,0,5,1,1,1,1,1,5
18,1,1,1,1,1,1,5,3,2,1,1,1,1,5,5,3,5,1,1,1,3,2,5,3,3,4,3,1,2,1,3,2,1,1,1,1,5,4,1,2,2,4,1,1,2,1,1,4,1,6,3,2,3,3,1,1,2,1,1,2,1,2,6,6,5,1,4,1,1,1,3,17897,0,1,0,2,1,0,0,0,4,1,1,1,1,1,5
20,1,1,1,2,1,1,5,3,3,1,1,1,4,5,5,5,5,1,1,1,5,1,2,4,5,5,1,1,1,1,4,3,1,1,1,2,1,2,5,1,1,4,1,1,3,5,1,5,1,5,2,2,1,1,1,1,1,1,1,1,1,3,4,3,1,1,1,4,2,5,4,18021,0,0,0,3,2,0,0,0,5,1,1,1,1,1,5
18,1,1,1,1,1,3,5,2,1,2,3,1,1,5,5,5,5,5,1,1,5,1,3,4,2,3,2,2,2,3,4,4,1,1,1,3,2,1,4,3,1,4,1,1,1,5,1,5,2,5,3,4,3,6,1,2,2,1,1,2,1,2,5,4,6,1,2,6,1,1,1,17756,1,1,2,3,3,0,0,0,10,1,1,1,1,1,5
19,1,2,1,2,1,2,5,4,3,2,2,4,2,5,5,4,5,2,1,2,5,4,4,4,5,5,4,3,2,3,4,3,1,1,2,2,2,4,2,1,5,4,1,1,5,4,1,4,5,4,3,2,1,2,1,2,2,1,1,1,1,2,2,6,2,1,4,2,2,5,5,17637,2,1,2,3,2,0,0,1,11,1,1,1,1,1,5
24,1,2,2,2,3,2,5,5,5,2,2,2,4,5,5,5,5,5,1,3,5,2,2,2,2,2,4,1,2,2,4,3,1,1,1,2,2,3,2,1,2,4,1,1,4,4,2,2,2,4,5,3,6,6,1,1,2,1,5,5,1,1,3,3,3,1,2,5,5,5,5,17976,0,1,1,3,2,0,0,0,7,1,1,1,1,1,5
19,1,2,1,1,2,1,5,3,3,2,1,2,2,5,5,4,4,1,1,4,4,2,5,5,4,2,2,1,2,1,4,4,1,3,1,2,5,4,3,2,5,4,1,1,5,3,2,5,4,5,4,2,4,2,1,3,3,1,1,2,1,1,3,5,2,1,2,5,5,6,6,18029,0,1,0,3,3,0,2,0,9,1,1,1,1,1,5
19,1,2,3,1,1,1,5,4,4,2,2,2,1,5,5,5,5,5,1,1,5,2,2,1,2,3,2,1,3,2,2,3,1,1,1,3,3,4,3,2,3,4,1,2,2,1,4,5,1,5,4,2,2,2,1,1,2,1,5,1,1,2,4,1,2,1,2,5,2,5,5,18059,0,2,1,1,2,0,0,0,6,1,1,1,1,1,5
19,2,2,1,1,1,1,5,3,3,2,2,1,1,5,4,3,5,1,1,2,4,3,3,4,3,3,2,4,3,2,2,3,1,2,1,3,2,4,2,3,4,4,1,3,1,2,1,3,1,3,4,2,3,3,1,2,2,1,2,2,1,1,2,2,3,1,2,4,2,4,4,18062,3,2,1,1,2,0,1,0,10,1,1,1,1,1,5
21,1,1,4,1,1,1,5,4,1,1,2,1,1,5,2,2,2,1,1,2,5,2,2,2,1,2,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,4,6,4,1,1,4,5,5,1,4,3,3,5,1,2,2,1,1,1,1,1,4,3,2,1,2,5,3,6,6,18042,0,1,0,1,1,0,0,0,3,1,1,1,1,1,5
18,2,1,1,2,2,3,5,4,4,4,4,1,3,5,5,5,5,5,1,2,5,3,4,4,2,4,4,3,3,3,3,3,1,3,1,2,2,6,1,2,5,4,1,3,3,4,4,4,5,4,4,2,3,4,1,2,5,1,5,5,1,6,2,4,1,1,2,4,2,6,5,18034,2,2,2,2,2,0,2,0,12,1,1,1,1,1,5
19,2,1,2,1,1,2,5,4,5,5,1,1,1,5,3,3,5,1,1,2,5,1,1,5,1,1,1,3,2,1,3,4,1,2,1,2,2,2,6,3,2,4,1,1,4,3,2,2,4,3,3,4,6,4,1,2,1,1,6,1,1,2,3,2,6,1,1,5,2,6,6,17619,2,1,0,2,3,0,1,0,9,1,1,1,1,1,5
18,1,2,1,2,2,2,5,5,5,2,2,2,2,5,5,5,5,4,1,2,5,4,4,3,4,4,4,3,3,1,4,1,1,1,1,1,1,5,1,1,3,4,1,3,3,2,1,5,2,5,2,1,3,3,1,1,2,1,6,1,1,2,2,4,3,1,2,2,1,6,6,17630,2,2,0,3,0,0,0,0,7,1,1,1,1,1,5
18,1,2,1,1,1,1,5,2,2,1,2,1,2,2,4,1,1,1,1,1,4,2,4,4,3,5,4,2,2,1,2,3,1,1,1,2,2,2,5,2,1,4,1,1,3,2,1,3,2,2,2,1,1,3,1,1,1,1,3,1,1,1,2,4,2,1,2,3,3,4,4,17937,1,1,0,1,2,0,0,0,5,1,1,1,1,1,5
20,2,1,2,1,1,1,5,3,2,1,2,2,1,1,4,5,1,2,1,5,5,2,2,3,5,4,1,4,3,1,2,4,1,2,1,3,2,2,4,4,2,4,1,2,2,6,1,5,5,6,6,4,3,5,1,3,1,1,2,1,1,1,5,1,4,1,6,4,2,6,6,18072,3,2,0,1,3,0,1,0,10,1,1,1,1,1,5
20,1,1,3,2,2,2,5,5,5,2,1,4,1,5,5,2,3,4,1,3,5,2,1,4,4,4,2,2,3,3,2,2,1,2,1,3,2,3,1,1,2,4,1,1,6,2,2,3,3,4,3,2,3,3,1,2,3,1,4,1,1,1,4,3,4,1,2,4,3,6,3,16621,1,2,2,1,1,0,1,0,8,1,1,1,1,1,5
20,1,2,1,1,1,1,5,1,1,1,1,1,3,5,5,5,1,1,1,2,5,5,4,2,4,5,5,2,2,1,4,3,1,1,1,1,2,4,1,1,4,4,1,2,4,5,1,3,4,1,5,2,3,5,1,1,3,1,1,1,1,2,2,5,1,1,2,4,2,6,6,18004,1,1,0,3,2,0,0,0,7,1,1,1,1,1,5
18,1,1,1,1,1,1,5,4,2,1,1,3,3,4,4,4,5,1,1,1,5,4,4,2,4,4,4,2,3,3,1,2,1,1,1,3,2,1,1,1,1,4,1,1,4,1,1,4,1,4,2,1,1,2,1,1,2,2,2,2,1,5,3,5,4,1,1,4,1,4,1,18073,1,2,2,0,1,0,0,0,6,1,1,1,1,1,5
19,1,1,1,2,2,2,5,3,2,2,2,1,1,5,5,3,5,2,1,2,3,5,5,2,4,4,3,3,2,1,3,3,1,1,1,1,2,2,2,2,2,4,1,2,1,2,1,5,4,4,5,1,3,3,1,1,2,3,3,2,1,2,1,2,2,1,2,4,4,1,2,18056,2,1,0,2,2,0,0,0,7,1,1,1,1,1,5
22,1,1,1,2,2,1,5,5,4,2,1,1,1,5,5,5,5,3,1,1,3,4,4,4,5,4,4,4,2,1,2,2,1,1,1,1,2,6,4,2,4,4,3,2,1,3,1,3,2,3,3,2,2,2,1,1,2,1,2,1,1,2,2,2,3,1,1,4,2,3,3,18053,3,1,0,1,1,0,0,0,6,1,1,1,1,1,5
