Entity,Code,Year,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized
Denmark,DNK,1996,0.21580586,4.146024,4.8367753,0.94958603,0.4212797
Denmark,DNK,1997,0.21576108,4.068902,4.8361273,0.949607,0.42466274
Denmark,DNK,1998,0.21570309,3.9876378,4.8347464,0.9496215,0.42766583
Denmark,DNK,1999,0.21564288,3.9077613,4.8335733,0.9496598,0.4306423
Denmark,DNK,2000,0.21558674,3.8416915,4.8331356,0.9497058,0.43336776
Denmark,DNK,2001,0.21542406,3.7883213,4.8333135,0.94881856,0.43697956
Denmark,DNK,2002,0.21512239,3.7376266,4.8339915,0.946633,0.44035754
Denmark,DNK,2003,0.21480212,3.6899285,4.8346615,0.9439888,0.44345278
Denmark,DNK,2004,0.21458283,3.6493335,4.835232,0.9417859,0.4469175
Denmark,DNK,2005,0.21458648,3.6151078,4.835422,0.9408773,0.4491398
Denmark,DNK,2006,0.21741113,3.58285,4.8332257,0.9409052,0.45140344
Denmark,DNK,2007,0.22392994,3.5521986,4.828784,0.94094557,0.45322025
Denmark,DNK,2008,0.23168026,3.5246913,4.823805,0.9409634,0.45507848
Denmark,DNK,2009,0.23819053,3.5045319,4.820482,0.9409952,0.45670235
Denmark,DNK,2010,0.2409941,3.4930654,4.8208127,0.94102407,0.45769343
Denmark,DNK,2011,0.2409809,3.4911556,4.8299036,0.9410235,0.45879945
Denmark,DNK,2012,0.24075875,3.4912093,4.8479366,0.9410103,0.45912847
Denmark,DNK,2013,0.24044524,3.4932568,4.8688307,0.9409444,0.45965907
Denmark,DNK,2014,0.24015133,3.494156,4.8869395,0.94085705,0.4597326
Denmark,DNK,2015,0.23999041,3.4930105,4.896541,0.94074917,0.46083546
Denmark,DNK,2016,0.24008548,3.4778132,4.893634,0.94062287,0.46320453
Denmark,DNK,2017,0.24028844,3.4658232,4.8873973,0.9405177,0.46608737
Denmark,DNK,2018,0.24067952,3.4691179,4.8819747,0.94039935,0.46809715
Denmark,DNK,2019,0.2413819,3.4828994,4.873904,0.94029397,0.47125348
Egypt,EGY,1990,0.24535134,3.7920954,4.415513,0.72433305,0.15812328
Egypt,EGY,1991,0.24536918,3.8196313,4.419191,0.7243617,0.1590892
Egypt,EGY,1992,0.24541242,3.8407712,4.4200096,0.72439533,0.159734
Egypt,EGY,1993,0.2454727,3.8577743,4.4185557,0.7244327,0.16051714
Egypt,EGY,1994,0.24554187,3.8671024,4.415509,0.7244746,0.16114584
Egypt,EGY,1995,0.24561276,3.8702178,4.4114027,0.72451586,0.1623022
Egypt,EGY,1996,0.24575405,3.8553162,4.356292,0.7245511,0.1631554
Egypt,EGY,1997,0.24599355,3.8207393,4.2314243,0.72457963,0.16436797
Egypt,EGY,1998,0.24626125,3.779099,4.083965,0.72460526,0.16615854
Egypt,EGY,1999,0.24648769,3.7450073,3.961074,0.7246296,0.16744646
Egypt,EGY,2000,0.24660341,3.7301762,3.9098616,0.72465265,0.16845532
Egypt,EGY,2001,0.24657656,3.7337484,3.9109635,0.7246746,0.16993871
Egypt,EGY,2002,0.24645925,3.7381115,3.9136815,0.7246954,0.17113276
Egypt,EGY,2003,0.24630849,3.7448118,3.917967,0.72471553,0.17227449
Egypt,EGY,2004,0.24618259,3.749454,3.9235525,0.7247318,0.17370944
Egypt,EGY,2005,0.24613982,3.753821,3.92999,0.72474134,0.17541373
Egypt,EGY,2006,0.24618915,3.7525122,3.989264,0.7247429,0.17688596
Egypt,EGY,2007,0.24628532,3.7464952,4.122379,0.7247357,0.17931707
Egypt,EGY,2008,0.24640469,3.742725,4.282255,0.72471803,0.18099098
Egypt,EGY,2009,0.24652363,3.7380831,4.4217134,0.72468776,0.18341842
Egypt,EGY,2010,0.24661826,3.737595,4.493589,0.72464406,0.18514201
Egypt,EGY,2011,0.24671397,3.7552204,4.5152283,0.7245893,0.18682568
Egypt,EGY,2012,0.24683838,3.7997007,4.534659,0.7245236,0.18861686
Egypt,EGY,2013,0.24696954,3.85238,4.5508595,0.724446,0.19059601
Egypt,EGY,2014,0.24708563,3.89728,4.5628824,0.72436,0.19202353
Egypt,EGY,2015,0.2471659,3.917347,4.569759,0.72426695,0.19393303
Egypt,EGY,2016,0.24723092,3.9158034,4.5637245,0.7241717,0.19560458
Egypt,EGY,2017,0.24729621,3.9134357,4.555389,0.7240791,0.19755909
Egypt,EGY,2018,0.24740069,3.9216802,4.5646315,0.72399354,0.19832063
Egypt,EGY,2019,0.2475693,3.9397578,4.5883927,0.72391546,0.19892646
New Zealand,NZL,1990,0.3905213,3.5860674,7.0465164,1.4828756,0.5697604
New Zealand,NZL,1991,0.39041007,3.600583,7.176495,1.4830294,0.5610904
New Zealand,NZL,1992,0.39028,3.6130106,7.2937536,1.4832004,0.5523699
New Zealand,NZL,1993,0.39014113,3.620064,7.390338,1.4833819,0.54560775
New Zealand,NZL,1994,0.38997805,3.6246839,7.4588876,1.483577,0.540558
New Zealand,NZL,1995,0.38979805,3.6268463,7.4917912,1.4838082,0.53899974
New Zealand,NZL,1996,0.3895534,3.624765,7.500953,1.4840815,0.5396194
New Zealand,NZL,1997,0.38922516,3.6182473,7.50552,1.4844187,0.539546
New Zealand,NZL,1998,0.38888612,3.610851,7.5072165,1.4847972,0.5401264
New Zealand,NZL,1999,0.38858777,3.6063628,7.5084586,1.4851947,0.5414022
New Zealand,NZL,2000,0.3884213,3.6104538,7.511177,1.4855347,0.54288167
New Zealand,NZL,2001,0.388568,3.6197147,7.514958,1.4878633,0.5453387
New Zealand,NZL,2002,0.38903025,3.6295044,7.517635,1.493006,0.54864043
New Zealand,NZL,2003,0.38961715,3.6385107,7.518905,1.4990636,0.5534996
New Zealand,NZL,2004,0.39011878,3.6483312,7.5186515,1.5041332,0.55819905
New Zealand,NZL,2005,0.3903529,3.657177,7.516275,1.5062661,0.5621121
New Zealand,NZL,2006,0.39031357,3.6618738,7.48773,1.5062703,0.56487507
New Zealand,NZL,2007,0.39015535,3.6577015,7.424937,1.5062933,0.5681935
New Zealand,NZL,2008,0.38994905,3.6527035,7.350513,1.5063245,0.57245874
New Zealand,NZL,2009,0.3897406,3.6470728,7.287345,1.5064099,0.5743568
New Zealand,NZL,2010,0.38959953,3.6443343,7.2580113,1.5065185,0.57736635
New Zealand,NZL,2011,0.3894694,3.652685,7.255383,1.5066193,0.57887274
New Zealand,NZL,2012,0.3892847,3.6709437,7.256376,1.5066789,0.5800334
New Zealand,NZL,2013,0.38910198,3.6920397,7.258935,1.5067157,0.58104706
New Zealand,NZL,2014,0.38896608,3.7118795,7.261765,1.5067295,0.58308315
New Zealand,NZL,2015,0.38891667,3.7224247,7.2632656,1.5067282,0.584627
New Zealand,NZL,2016,0.38905743,3.7232935,7.2546983,1.5066881,0.5929689
New Zealand,NZL,2017,0.38917428,3.7229996,7.2475195,1.5066189,0.6009582
New Zealand,NZL,2018,0.38900882,3.7241206,7.2523446,1.5065308,0.6026895
New Zealand,NZL,2019,0.3886144,3.7238638,7.263469,1.5064018,0.6033723
North Korea,PRK,1990,0.2749578,2.8953016,3.6443512,0.18233444,0.073173285
North Korea,PRK,1991,0.27422833,2.888833,3.6434298,0.18235031,0.072650485
North Korea,PRK,1992,0.27342653,2.8820398,3.642853,0.18236645,0.07197394
North Korea,PRK,1993,0.27259538,2.874069,3.6424274,0.18237938,0.07081981
North Korea,PRK,1994,0.27179864,2.8668916,3.6414497,0.18238568,0.07021676
North Korea,PRK,1995,0.27106032,2.8596976,3.6403131,0.18238331,0.06925937
North Korea,PRK,1996,0.27005962,2.8548331,3.64019,0.18237558,0.06810789
North Korea,PRK,1997,0.26866874,2.8462827,3.6416662,0.18236838,0.06704467
North Korea,PRK,1998,0.26722395,2.8384297,3.6438057,0.18235871,0.06599066
North Korea,PRK,1999,0.26609972,2.8307295,3.6447806,0.18233874,0.0650246
North Korea,PRK,2000,0.26562673,2.8216548,3.64384,0.18231548,0.064550415
North Korea,PRK,2001,0.26580924,2.8111088,3.6416647,0.18229058,0.06429498
North Korea,PRK,2002,0.26627946,2.8018732,3.6398528,0.18226689,0.063765734
North Korea,PRK,2003,0.2668565,2.7905047,3.6379988,0.18224663,0.06378162
North Korea,PRK,2004,0.26737797,2.778046,3.6353788,0.18221529,0.06416539
North Korea,PRK,2005,0.26763675,2.7666843,3.632196,0.18218611,0.063991114
North Korea,PRK,2006,0.2674862,2.7510834,3.6274393,0.1821597,0.06452409
North Korea,PRK,2007,0.2669917,2.733137,3.6214998,0.18213625,0.06428602
North Korea,PRK,2008,0.2663081,2.7163928,3.6156104,0.18211672,0.064574696
North Korea,PRK,2009,0.2656205,2.7017505,3.6103525,0.18208848,0.06460824
North Korea,PRK,2010,0.26507062,2.6928356,3.6070626,0.1820646,0.06447868
North Korea,PRK,2011,0.2644565,2.6885262,3.6078677,0.1820453,0.06489347
North Korea,PRK,2012,0.2636009,2.6866274,3.6127727,0.18202758,0.06504811
North Korea,PRK,2013,0.26271483,2.6857734,3.6191716,0.18201101,0.06488611
North Korea,PRK,2014,0.26203144,2.6834774,3.623986,0.18199334,0.06519861
North Korea,PRK,2015,0.26175076,2.6812007,3.6247585,0.18197855,0.06513919
North Korea,PRK,2016,0.26270422,2.6757207,3.6050406,0.18196873,0.06551895
North Korea,PRK,2017,0.26365402,2.6695142,3.5852828,0.18195951,0.06579945
North Korea,PRK,2018,0.26299864,2.6698425,3.5908568,0.18194953,0.0658978
North Korea,PRK,2019,0.26126185,2.6769247,3.61212,0.18194291,0.06607657
Norway,NOR,1990,0.28333887,2.9614632,7.1641345,0.8355143,0.41505915
Norway,NOR,1991,0.28291845,3.0047672,7.1641793,0.8355028,0.41581523
Norway,NOR,1992,0.28258115,3.0380085,7.1612844,0.83546364,0.4166534
Norway,NOR,1993,0.2823304,3.0607593,7.1560655,0.8354137,0.4175397
Norway,NOR,1994,0.28217041,3.07412,7.1494474,0.8353603,0.41853437
Norway,NOR,1995,0.2821014,3.07927,7.142343,0.83529127,0.4196698
Norway,NOR,1996,0.28218204,3.0653265,7.09093,0.835193,0.42095473
Norway,NOR,1997,0.28240517,3.031921,6.978439,0.83507967,0.422771
Norway,NOR,1998,0.28268844,2.9930205,6.846244,0.8349636,0.42477527
Norway,NOR,1999,0.28294814,2.961178,6.73588,0.83486557,0.42674917
Norway,NOR,2000,0.2830906,2.9515843,6.688804,0.83478904,0.42850858
Norway,NOR,2001,0.28318363,2.9779928,6.7080593,0.8344223,0.42983848
Norway,NOR,2002,0.28331336,3.0342743,6.756272,0.8336391,0.43091062
Norway,NOR,2003,0.28344944,3.0994284,6.814789,0.8326995,0.43191692
Norway,NOR,2004,0.28355777,3.153792,6.8648267,0.8318773,0.4331604
Norway,NOR,2005,0.28359896,3.1770527,6.886787,0.83141744,0.4348808
Norway,NOR,2006,0.28356108,3.165975,6.8871355,0.831191,0.43729234
Norway,NOR,2007,0.28347012,3.137818,6.8852477,0.83090764,0.44019058
Norway,NOR,2008,0.28336188,3.1033254,6.88199,0.8305965,0.4434445
Norway,NOR,2009,0.2832684,3.0748343,6.87844,0.8303018,0.44643226
Norway,NOR,2010,0.2832236,3.0613675,6.874837,0.83005685,0.44851813
Norway,NOR,2011,0.28323165,3.0649781,6.8614793,0.8298358,0.44994146
Norway,NOR,2012,0.28326273,3.0776033,6.834079,0.82963437,0.45120144
Norway,NOR,2013,0.2833009,3.096956,6.8015614,0.8294561,0.45275363
Norway,NOR,2014,0.28333285,3.1207197,6.77282,0.82929546,0.45419383
Norway,NOR,2015,0.28335482,3.1464283,6.7566686,0.8291418,0.45619804
Norway,NOR,2016,0.2834477,3.2183096,6.7417626,0.8290058,0.46358582
Norway,NOR,2017,0.28348392,3.2785075,6.729138,0.82888865,0.47091836
Norway,NOR,2018,0.28322938,3.2730134,6.729469,0.82875776,0.47322372
Norway,NOR,2019,0.28272113,3.2382026,6.7358413,0.8286233,0.47473136
Palestine,PSE,1990,0.2476951,6.296827,5.437921,0.7924694,0.13014643
Palestine,PSE,1991,0.24792199,6.2774663,5.4363112,0.79214686,0.13075502
Palestine,PSE,1992,0.24815252,6.266945,5.4352384,0.7918456,0.13159764
Palestine,PSE,1993,0.2483804,6.2617707,5.433813,0.791566,0.13258186
Palestine,PSE,1994,0.24858436,6.261598,5.4320226,0.7913085,0.13366799
Palestine,PSE,1995,0.24874838,6.2643595,5.429462,0.79107153,0.13473603
Palestine,PSE,1996,0.24894516,6.342345,5.4274893,0.7908535,0.13648196
Palestine,PSE,1997,0.24921082,6.521219,5.4275875,0.7906676,0.13823415
Palestine,PSE,1998,0.2494841,6.7369967,5.4287,0.7905216,0.1408603
Palestine,PSE,1999,0.2496987,6.9227004,5.430454,0.79042107,0.14249492
Palestine,PSE,2000,0.24978842,7.006831,5.432334,0.7903785,0.14337142
Palestine,PSE,2001,0.2496807,7.0180025,5.4368563,0.7903969,0.14368683
Palestine,PSE,2002,0.24940547,7.025387,5.4454727,0.7904652,0.14386016
Palestine,PSE,2003,0.24905746,7.029476,5.45512,0.7905512,0.14414921
Palestine,PSE,2004,0.24872969,7.026218,5.463848,0.7906442,0.14383635
Palestine,PSE,2005,0.24851625,7.0236554,5.469396,0.7907331,0.14412732
Palestine,PSE,2006,0.24831598,7.0185223,5.4737787,0.7908265,0.14430866
Palestine,PSE,2007,0.24801883,7.011625,5.4796677,0.7909143,0.1447338
Palestine,PSE,2008,0.24770269,7.0020432,5.485827,0.79099774,0.14536858
Palestine,PSE,2009,0.24744445,6.989198,5.4920964,0.79109055,0.14587836
Palestine,PSE,2010,0.24732782,6.971681,5.496711,0.7911194,0.14646922
Palestine,PSE,2011,0.24737419,6.93137,5.502382,0.7910914,0.14756195
Palestine,PSE,2012,0.24751742,6.856684,5.5114255,0.79106,0.14940538
Palestine,PSE,2013,0.24770895,6.7573338,5.5209093,0.7910209,0.15124604
Palestine,PSE,2014,0.24790195,6.6439223,5.5289345,0.7909717,0.15331355
Palestine,PSE,2015,0.24804811,6.5264244,5.5333457,0.7909199,0.15452918
Palestine,PSE,2016,0.24849649,6.333089,5.53101,0.7908652,0.15647206
Palestine,PSE,2017,0.24890426,6.19035,5.527253,0.7908122,0.15753616
Palestine,PSE,2018,0.24873625,6.1822557,5.5319905,0.7907663,0.15803477
Palestine,PSE,2019,0.24819995,6.1989517,5.5458045,0.7907242,0.15811732
Ukraine,UKR,1990,0.276157,4.2648845,3.109182,0.5217524,0.13016663
Ukraine,UKR,1991,0.2753881,4.328565,3.1115975,0.52168155,0.12800972
Ukraine,UKR,1992,0.27462083,4.387335,3.1115282,0.52162576,0.12563737
Ukraine,UKR,1993,0.27389178,4.437566,3.10949,0.52158684,0.12302267
Ukraine,UKR,1994,0.27323958,4.4742236,3.1059237,0.52155566,0.120182596
Ukraine,UKR,1995,0.27269906,4.4943957,3.1015291,0.52154136,0.11754974
Ukraine,UKR,1996,0.2721024,4.505719,3.0723562,0.521536,0.11404076
Ukraine,UKR,1997,0.27135485,4.5185413,3.0091927,0.5215291,0.10979703
Ukraine,UKR,1998,0.27060363,4.526868,2.934903,0.52152175,0.1057233
Ukraine,UKR,1999,0.26999685,4.531305,2.872401,0.521512,0.102559105
Ukraine,UKR,2000,0.26967925,4.526951,2.8447585,0.5215153,0.10122647
Ukraine,UKR,2001,0.26961565,4.506401,2.8427632,0.5215194,0.10167394
Ukraine,UKR,2002,0.26964414,4.467858,2.8419838,0.5215242,0.102477804
Ukraine,UKR,2003,0.26972553,4.4177523,2.8424397,0.5215347,0.1031663
Ukraine,UKR,2004,0.26982307,4.362677,2.8439982,0.52154255,0.1045638
Ukraine,UKR,2005,0.26989645,4.315122,2.846743,0.5215573,0.105426505
Ukraine,UKR,2006,0.2699782,4.265765,2.8758194,0.5215627,0.1069271
Ukraine,UKR,2007,0.27010795,4.207717,2.9409006,0.5215657,0.109056376
Ukraine,UKR,2008,0.27026373,4.152111,3.0185354,0.52157444,0.11132718
Ukraine,UKR,2009,0.27042964,4.101679,3.084608,0.5215634,0.113309406
Ukraine,UKR,2010,0.27058375,4.0636315,3.1155183,0.5215375,0.114740774
Ukraine,UKR,2011,0.27081847,4.0276003,3.119328,0.5214986,0.11587107
Ukraine,UKR,2012,0.27117696,3.9822237,3.1206193,0.5214586,0.116908
Ukraine,UKR,2013,0.27156687,3.9361966,3.1204603,0.52142155,0.118037246
Ukraine,UKR,2014,0.2718974,3.9005053,3.1196063,0.5213799,0.118681595
Ukraine,UKR,2015,0.2720728,3.8831425,3.1196241,0.52136177,0.11927555
Ukraine,UKR,2016,0.27206576,3.8882422,3.121358,0.5213581,0.12092872
Ukraine,UKR,2017,0.27200583,3.895252,3.1236935,0.5213512,0.12112826
Ukraine,UKR,2018,0.2718183,3.8966324,3.1275187,0.5213445,0.12156914
Ukraine,UKR,2019,0.27143335,3.8973033,3.133128,0.5213342,0.121123455
United States,USA,1990,0.43585777,3.7964869,5.241197,0.6061742,0.40408042
United States,USA,1991,0.4393758,3.9025552,5.2415867,0.605942,0.41853958
United States,USA,1992,0.4425686,4.006986,5.2477794,0.6057076,0.431534
United States,USA,1993,0.4452558,4.106528,5.2590055,0.60548025,0.44196212
